accuracy,model,call,features,train data,test data,time,
0.8788007055,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=10)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_test.pkl,2016-07-05 15:51:22,<< TEST
,,,,,,,
0.8521238587,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.01)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 16:35:27,
0.8769352918,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.1)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 16:37:13,
0.8806073839,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 16:38:53,
0.8773322747,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=10)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 16:40:30,
0.8801111552,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=100)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 16:42:11,
0.8412068281,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=0.01)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 17:11:20,
0.8738586741,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=0.1)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 17:13:24,
0.8836840016,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 17:16:04,
0.8829892815,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=10)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 17:22:36,
0.8750496229,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=100)",0 1 10 11 12 2 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 17:34:13,
,,,,,,,
0.8814013497,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 20:56:26,
0.8833862644,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 20:59:46,
0.8800119095,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 22:41:12,
0.8837832473,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 3 4 5 6 7 8 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 22:44:55,
0.8793171894,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 3 4 5 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 22:48:44,
0.8834855101,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 3 4 5 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-05 22:52:03,
0.8835847559,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:15:36,
0.8862643906,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:19:05,
0.8823938071,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 23 24 25 27 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:24:05,
0.8861651449,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 23 24 25 27 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:27:46,
0.8816990869,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 35 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:30:00,
0.8856689162,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 35 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-06 20:33:06,
0.8835847559,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 08:20:44,
0.8811036125,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 3 36 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 08:38:36,
,,,,,,,
0.8870583565,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 11:51:04,
0.8895394998,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:11:53,
,,,,,,,
0.8847757046,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 30 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:22:53,
0.8825922985,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 31 32 33 34 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:47:53,
0.8841802303,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 30 31 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:10:15,
0.8849741961,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 30 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:24:41,
0.886859865,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:32:29,
0.8873560937,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-09 22:21:50,
,,,,,,,
0.8897379913,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-09 22:37:15,
0.8934038801,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_test.pkl,2016-07-10 19:27:40,<< TEST
0.9089981746,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_test_all_nps.pkl,2016-07-17 22:20:55,
