|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
24|ZERO|"data/parsed/22/wsj_2200.mrg|4|42"|`` Such agency ` self-help ' borrowing is unauthorized and expensive , far more expensive than [ direct Treasury borrowing , '' ] said Rep. Fortney Stark -LRB- D. , Calif. -RRB- , the bill 's chief sponsor .|Treasury|sg|NNP|[u'funds.n.01']||PP|"['VBG', ',', ""''""]"|['JJ']|True|"[u'borrow', ',', ""''""]"|[u'say', 'Rep.']|['direct']|['expensive', 'than']|NN|True|False|False|0|False|||is||0.484848484848|THE|ZERO
109|ZERO|"data/parsed/22/wsj_2200.mrg|18|35"|`` That secrecy leads to a proposal like the one from [ Ways and Means , ] which seems to me sort of draconian , '' he said .|Means|sg|NNP|[u'implementation.n.02']||NP|[',']|['NNPS', 'CC']|False|[',']|['which', u'seem']|['Ways', 'and']|['one', 'from']|NN|True|True|False|9|False|SBAR|which|leads||0.458333333333|THE|ZERO
114|ZERO|"data/parsed/22/wsj_2200.mrg|19|40"|`` The RTC is going to have to pay a price of [ prior consultation ] on the Hill if they want that kind of flexibility . ''|consultation|sg|NN|[u'conference.n.03']||NP|[]|['JJ']|False|[]|['on']|['prior']|['price', 'of']|NN|False|True|False|3|False|PP|on|to|False|0.48|THE|ZERO
168|ZERO|"data/parsed/22/wsj_2201.mrg|9|23"|It considered running them during tomorrow [ night 's ] World Series broadcast but decided not to when the market recovered yesterday .|night|sg|NN|[u'time_period.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['World', 'Series']|[]|['during', 'tomorrow']|NN|False|False|False|0|False|||running|True|0.3|THE|ZERO
187|ZERO|"data/parsed/22/wsj_2201.mrg|13|34"|Fidelity , for example , prepared ads several months ago in [ case ] of a market plunge .|case|sg|NN|[u'happening.n.01']||NP|[]|[]|False|[]|['of']|[]|['ago', 'in']|NN|False|True|False|5|True|PP|of|prepared|False|0.647058823529|THE|ZERO
195|ZERO|"data/parsed/22/wsj_2201.mrg|14|63"|When the market went into its free fall Friday afternoon , the investment firm ordered full pages in the Monday editions of [ half a dozen newspapers . ]|newspaper|pl|NN|[u'press.n.02']||PP|['.']|['PDT', 'NN']|False|['.']|[]|['half', 'dozen']|[u'edition', 'of']|NN|False|False|False|0|False|||ordered|False|0.95652173913|THE|ZERO
237|ZERO|"data/parsed/22/wsj_2201.mrg|23|33"|It goes on to plug a few diversified Fidelity funds by [ name . ]|name|sg|NN|[u'language_unit.n.01']||PP|['.']|[]|False|['.']|[]|[]|[u'fund', 'by']|NN|False|False|False|0|False|||to|False|0.916666666667|THE|ZERO
450|ZERO|"data/parsed/22/wsj_2202.mrg|5|6"|In [ game two , ] on a cool Sunday evening in this land of perpetual autumn , a lot of the catching up was done by the A 's catcher , Terry Steinbach .|game|sg|NN|[u'activity.n.01']||PP|['CD', ',']|[]|True|['two', ',']|['on']|[]|['In']|NN|False|False|False|0|False|||was|True|0.0322580645161|THE|ZERO
486|ZERO|"data/parsed/22/wsj_2202.mrg|9|67"|On Saturday night , quite a few of the boys in green and gold salted away successes to salve the pain of [ past ] and , no doubt , future droughts .|past|sg|NN|[u'time.n.05']||PP|[]|[]|False|[]|['and', ',']|[]|['pain', 'of']|NN|False|False|False|0|False|||to|False|0.709677419355|THE|ZERO
536|ZERO|"data/parsed/22/wsj_2202.mrg|15|5"|[ `` Every guy ] they put out there had a better split-finger than the guy before , '' marveled Giant manager Roger Craig .|guy|sg|NN|[u'man.n.01']|every|NP|[]|['``']|False|[]|['they', 'put']|['``']|[]|NN|False|True|True|4|False|SBAR|they|had|False|0.0|THE|ZERO
555|ZERO|"data/parsed/22/wsj_2202.mrg|17|55"|The upshot of the downshoot is that the A 's go into San Francisco 's Candlestick Park tonight up [ two games ] to none in the best-of-seven fest .|game|pl|NN|[u'activity.n.01']||PP|[]|['CD']|False|[]|['to', 'none']|['two']|['tonight', 'up']|NN|False|False|False|0|False|||go|False|0.703703703704|THE|ZERO
584|ZERO|"data/parsed/22/wsj_2202.mrg|21|27"|Partisans of the two combatants sat side by [ side ] in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .|side|sg|NN|[u'region.n.01']||PP|[]|[]|False|[]|['in']|[]|['side', 'by']|NN|False|False|False|0|False|||sat|True|0.190476190476|THE|ZERO
622|ZERO|"data/parsed/22/wsj_2202.mrg|27|86"|I choose to believe it 's the latter , although it probably springs from the fact that just about everyone out here , including the A 's and [ Giants , ] is originally from somewhere else .|Giants|sg|NNP|[u'animal.n.01']||NP|[',']|[]|True|[',']|[u'be', 'originally']|[]|"[""'s"", 'and']"|NN|True|False|False|0|False|||is||0.8|THE|ZERO
635|ZERO|"data/parsed/22/wsj_2202.mrg|29|3"|[ Anyway , ] the A 's gave you a lot of heroes to root for .|Anyway|sg|NN|||S|[',']|[]|False|[',']|['A']|[]|[]|NN|False|False|False|0|False|||gave|False|0.0|THE|ZERO
646|ZERO|"data/parsed/22/wsj_2202.mrg|30|52"|In the opening game , besides Steinbach and Stewart , there was Walt Weiss , a twiggy-looking , [ second-year shortstop ] who had lost a couple months of the season to knee surgery .|shortstop|sg|NN|[u'infielder.n.01']||NP|[]|['JJ']|False|[]|['who', u'have']|['second-year']|['twiggy-looking', ',']|NN|False|True|False|13|False|SBAR|who|was|False|0.5625|THE|ZERO
652|ZERO|"data/parsed/22/wsj_2202.mrg|31|20"|He was flawless afield -LRB- [ ditto ] in game two -RRB- , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .|ditto|sg|NN|[u'mark.n.10']||NP|[]|[]|False|[]|['in', 'game']|[]|['afield', '-LRB-']|NN|False|True|False|3|False|PP|in|was|False|0.15625|THE|ZERO
653|ZERO|"data/parsed/22/wsj_2202.mrg|31|26"|He was flawless afield -LRB- ditto in [ game two ] -RRB- , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .|game|sg|NN|[u'activity.n.01']||PP|['CD']|[]|True|['two']|['-RRB-', ',']|[]|['ditto', 'in']|NN|False|False|False|0|False|||was|True|0.225806451613|THE|ZERO
659|ZERO|"data/parsed/22/wsj_2202.mrg|32|3"|[ Such ] is his reputation among the East Bay Bashers that when he hit his first career home run last season , the fan who caught it agreed to turn the ball over to him in return for an autograph .|Such||JJ|||S|[]|[]|False|[]|[u'be', 'his']|[]|[]|JJ|False|False|False|0|False|||is||0.0|THE|ZERO
664|ZERO|"data/parsed/22/wsj_2202.mrg|32|54"|Such is his reputation among the East Bay Bashers that when he hit his first career home run [ last season , ] the fan who caught it agreed to turn the ball over to him in return for an autograph .|season|sg|NN|[u'time_period.n.01']||VP|[',']|['JJ']|True|[',']|['fan']|['last']|['home', 'run']|NN|False|False|False|0|False|||hit|True|0.473684210526|THE|ZERO
669|ZERO|"data/parsed/22/wsj_2202.mrg|32|106"|Such is his reputation among the East Bay Bashers that when he hit his first career home run last season , the fan who caught it agreed to turn the ball over to him in [ return ] for an autograph .|return|sg|NN|[u'legal_document.n.01']||NP|[]|[]|False|[]|['for']|[]|['him', 'in']|NN|False|True|False|4|False|PP|for|to|False|0.875|THE|ZERO
706|ZERO|"data/parsed/22/wsj_2202.mrg|38|31"|They combined for 25 hits , six home runs and [ 24 runs ] batted in in the five games against the Cubs .|run|pl|NN|[u'score.n.10']||NP|[]|['CD']|True|[]|[u'bat', 'in']|['<number>']|[u'run', 'and']|NN|False|True|False|10|False|VP|batted|combined|True|0.47619047619|THE|ZERO
713|ZERO|"data/parsed/22/wsj_2202.mrg|40|15"|It 's that [ last set ] of numbers , as much as anything else , that gives the Giants hope in the Series games to come .|set|sg|NN|[u'collection.n.01']||NP|[]|['JJ']|True|[]|['of', u'number']|['last']|"[""'s"", 'that']"|NN|False|True|False|3|True|PP|of|gives|True|0.12|THE|ZERO
718|ZERO|"data/parsed/22/wsj_2202.mrg|40|56"|It 's that last set of numbers , as much as anything else , that gives the Giants [ hope ] in the Series games to come .|hope|sg|NN|[u'anticipation.n.01']||NP|[]|[]|False|[]|['in']|[]|['Giants']|NN|False|True|False|4|False|PP|in|gives|False|0.692307692308|THE|ZERO
723|ZERO|"data/parsed/22/wsj_2202.mrg|41|34"|`` I believe in the law of averages , '' declared [ San Francisco batting coach ] Dusty Baker after game two .|coach|sg|NN|[u'trainer.n.01']||VP|[]|['NNP', 'NNP', 'NN']|False|[]|['Dusty', 'Baker']|['San', 'Francisco', 'batting']|"[""''"", u'declare']"|NN|False|False|False|0|False||||False|0.611111111111|THE|ZERO
725|ZERO|"data/parsed/22/wsj_2202.mrg|41|51"|`` I believe in the law of averages , '' declared San Francisco batting coach Dusty Baker after [ game two . ]|game|sg|NN|[u'activity.n.01']||PP|['CD', '.']|[]|True|['two', '.']|[]|[]|['Baker', 'after']|NN|False|False|False|0|False||||True|0.947368421053|THE|ZERO
799|ZERO|"data/parsed/22/wsj_2203.mrg|10|96"|In addition to a general slowing of the computer industry , NCR , which sells automated teller machines and computerized cash registers , is also affected by the retail and financial sectors , `` [ areas ] of the economy that have generally not been robust , '' notes S Sanjiv G. Hingorani , an analyst for Salomon Brothers Inc .|area|pl|NN|[u'region.n.03']||NP|[]|[]|False|[]|['of']|[]|[',', '``']|NN|False|True|False|11|True|PP|of|is|False|0.576271186441|THE|ZERO
859|ZERO|"data/parsed/22/wsj_2204.mrg|1|38"|Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to [ Performance , '' ] I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .|Performance|sg|NN|[u'show.n.03']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|"['I', ""'m""]"|[]|['Pay', 'to']|NN|False|False|False|0|False|||'m|False|0.378378378378|THE|ZERO
867|ZERO|"data/parsed/22/wsj_2204.mrg|2|57"|If the firms are serious , however , why limit the practice to the poor , maligned analysts whose [ ability ] to see into the future is fragile at best ?|ability|sg|NN|[u'quality.n.01']||NP|[]|[]|False|[]|['to', 'see']|[]|[u'analyst', 'whose']|NN|False|True|False|5|False|S|to|limit|False|0.633333333333|THE|ZERO
881|ZERO|"data/parsed/22/wsj_2204.mrg|4|49"|That should stop a lot of account-churning , and produce a stock market driven only by [ professional concern , ] careful thought and good sense .|concern|sg|NN|[u'interest.n.01']||PP|[',']|['JJ']|False|[',']|['careful', 'thought']|['professional']|['only', 'by']|NN|False|False|False|0|False|||should|False|0.695652173913|THE|ZERO
970|ZERO|"data/parsed/22/wsj_2205.mrg|16|4"|[ Red figures ] on the screens indicated falling stocks ; blue figures , rising stocks .|figure|pl|NN|[u'illustration.n.01']||NP|[]|['JJ']|False|[]|['on']|['Red']|[]|NN|False|True|False|3|False|PP|on|indicated|False|0.0|THE|ZERO
982|ZERO|"data/parsed/22/wsj_2205.mrg|18|13"|`` I see [ concern , ] but I do n't see any panic , '' said Mr. Palamara , a big , good-humored New York native who runs the 15-trader office .|concern|sg|NN|[u'interest.n.01']||VP|[',']|[]|False|[',']|['but', 'I']|[]|['I', 'see']|NN|False|False|False|0|False|||see|False|0.1|THE|ZERO
992|ZERO|"data/parsed/22/wsj_2205.mrg|19|55"|The Jefferies office , a branch of the Los Angeles-based firm , played it conservatively , seeking to avoid [ risk . ]|risk|sg|NN|[u'danger.n.03']||VP|['.']|[]|False|['.']|[]|[]|['to', 'avoid']|NN|False|False|False|0|False|||to|False|0.95|THE|ZERO
995|ZERO|"data/parsed/22/wsj_2205.mrg|20|23"|`` This is not the sort of [ market ] to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .|market|sg|NN|[u'activity.n.01']||PP|[]|[]|True|[]|['to', 'have']|[]|['sort', 'of']|NN|False|False|False|0|False|||is|True|0.25|THE|ZERO
1025|ZERO|"data/parsed/22/wsj_2205.mrg|26|14"|On the screens , [ only two forlorn blue figures ] remained , but the index had recovered a few points and was off about 140 .|figure|pl|NN|[u'illustration.n.01']||S|[]|['RB', 'CD', 'JJ', 'JJ']|False|[]|[u'remain', ',']|['only', 'two', 'forlorn', 'blue']|[u'screen', ',']|NN|False|False|False|0|False|||remained|False|0.190476190476|THE|ZERO
1157|ZERO|"data/parsed/22/wsj_2205.mrg|55|9"|Then , [ nine minutes ] later , Wall Street suddenly rebounded to a gain on the day .|minute|pl|NN|[u'written_record.n.01']||ADVP|[]|['CD']|True|[]|['later', ',']|['nine']|['Then', ',']|NN|False|False|False|0|False|||rebounded|True|0.125|THE|ZERO
1210|ZERO|"data/parsed/22/wsj_2207.mrg|2|27"|The collapsed plan to acquire UAL Corp. , [ parent ] of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by the subcommittee on a voice vote yesterday .|parent|sg|NN|[u'genitor.n.01']||NP|[]|[]|False|[]|['of', 'United']|[]|['Corp.', ',']|NN|False|True|False|4|True|PP|of|to|False|0.242424242424|THE|ZERO
1276|ZERO|"data/parsed/22/wsj_2207.mrg|11|20"|Aides both in the House and [ Senate ] said the withdrawal of the Trump bid for AMR is n't likely to deflate efforts to push the legislation .|Senate|sg|NNP|[u'legislature.n.01']||NP|[]|[]|False|[]|[u'say']|[]|['House', 'and']|NN|True|False|False|0|False|||said||0.222222222222|THE|ZERO
1328|ZERO|"data/parsed/22/wsj_2207.mrg|18|107"|The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in [ size ] of the airline through disposal of assets , or give control to a foreign interest .|size|sg|NN|[u'magnitude.n.01']||NP|[]|[]|False|[]|['of']|[]|['reduction', 'in']|NN|False|True|False|3|True|PP|of|to|False|0.679245283019|THE|ZERO
1330|ZERO|"data/parsed/22/wsj_2207.mrg|18|122"|The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through [ disposal ] of assets , or give control to a foreign interest .|disposal|sg|NN|[u'power.n.01']||NP|[]|[]|False|[]|['of', u'asset']|[]|['airline', 'through']|NN|False|True|False|3|True|PP|of|to|False|0.77358490566|THE|ZERO
1336|ZERO|"data/parsed/22/wsj_2207.mrg|19|32"|If more information is needed , the secretary would have [ authority ] to extend the review period 20 days .|authority|sg|NN|[u'control.n.01']||NP|[]|[]|True|[]|['to', 'extend']|[]|['would', 'have']|NN|False|True|False|8|False|S|to|would|True|0.526315789474|THE|ZERO
1383|ZERO|"data/parsed/22/wsj_2208.mrg|3|20"|`` We 're encouraged that [ talks ] are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .|talk|pl|NN|[u'discussion.n.02']||S|[]|[]|True|[]|[u'be', u'schedule']|[]|[u'encourage', 'that']|NN|False|False|False|0|False|||are|True|0.185185185185|THE|ZERO
1403|ZERO|"data/parsed/22/wsj_2208.mrg|6|33"|Now in its 13th day , the strike has idled about [ 55,000 machinists ] and has started to delay delivery of some jetliners .|machinist|pl|NN|[u'craftsman.n.03']||PP|[]|['CD']|True|[]|['and', u'have']|['55,000']|[u'idle', 'about']|NN|False|False|False|0|False|||has|True|0.5|THE|ZERO
1412|ZERO|"data/parsed/22/wsj_2208.mrg|8|17"|After the third week on [ strike , ] union members will begin receiving $ 100 a week from the fund .|strike|sg|NN|[u'job_action.n.01']||PP|[',']|[]|True|[',']|['union', u'member']|[]|['week', 'on']|NN|False|False|False|0|False|||will|True|0.263157894737|THE|ZERO
1417|ZERO|"data/parsed/22/wsj_2208.mrg|9|4"|[ Work ] at Boeing continues with supervisors and other non-striking personnel manning the lines .|Work|sg|NN|[u'activity.n.01']||NP|[]|[]|False|[]|['at', 'Boeing']|[]|[]|NN|False|True|False|2|False|PP|at|continues|False|0.0|THE|ZERO
1478|ZERO|"data/parsed/22/wsj_2209.mrg|7|30"|The company 's restructuring includes plans to split into [ three sectors , ] to phase out domestic printer manufacturing operations and to sell its New England subsidiary .|sector|pl|NN|[u'plane_figure.n.01']||PP|[',']|['CD']|False|[',']|['to', 'phase']|['three']|['split', 'into']|NN|False|False|False|0|False|||to|False|0.36|THE|ZERO
1625|ZERO|"data/parsed/22/wsj_2210.mrg|24|50"|Institutional investors and bankers , many of whom spent the night before in their offices watching [ Far Eastern markets , ] were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .|market|pl|NN|[u'activity.n.01']||VP|[',']|['JJ', 'JJ']|True|[',']|[u'be', 'cautiously']|['Far', 'Eastern']|[u'office', u'watch']|NN|False|False|False|0|False|||watching|True|0.516129032258|THE|ZERO
1959|ZERO|"data/parsed/22/wsj_2211.mrg|32|58"|Last week , the banking company said it purchased both Freedom Savings & Loan Association , Tampa , Fla. , and [ University Federal Savings Association ] of San Antonio , Texas , for $ 169.4 million .|Association|sg|NNP|[u'organization.n.01']||NP|[]|['NNP', 'NNP', 'NNP']|False|[]|['of', 'San']|['University', 'Federal', 'Savings']|[',', 'and']|NN|True|True|False|6|True|PP|of|purchased||0.636363636364|THE|ZERO
2069|ZERO|"data/parsed/22/wsj_2212.mrg|1|80"|LIN Broadcasting Corp. said it wo n't take a position on a revised tender offer by McCaw Cellular Communications Inc. to buy LIN and has asked for [ clarification ] of the offer .|clarification|sg|NN|[u'interpretation.n.03']||NP|[]|[]|False|[]|['of']|[]|[u'ask', 'for']|NN|False|True|False|4|True|PP|of|wo|False|0.84375|THE|ZERO
2138|ZERO|"data/parsed/22/wsj_2213.mrg|2|100"|In a letter filed with the Securities and Exchange Commission , the group , which holds about 4.5 million Telerate shares , or about 4.7 % of the shares outstanding , said `` ... at [ present ] none of us believes an offer for less than $ 25 per share would be fair and some believe that $ 25 is too low . ''|present|sg|NN|[u'time.n.05']||PP|[]|[]|False|[]|['none', 'of']|[]|['...', 'at']|NN|False|False|False|0|False|||believes|False|0.555555555556|THE|ZERO
2156|ZERO|"data/parsed/22/wsj_2213.mrg|5|13"|Dow Jones , [ publisher ] of The Wall Street Journal , has launched an $ 18-a-share , or $ 576 million , tender offer to acquire the remaining Telerate shares outstanding ; Dow Jones owns 67 % of Telerate .|publisher|sg|NN|[u'firm.n.01']||NP|[]|[]|False|[]|['of']|[]|['Jones', ',']|NN|False|True|False|6|True|PP|of|has|False|0.0769230769231|THE|ZERO
2215|ZERO|"data/parsed/22/wsj_2214.mrg|3|72"|If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to [ Canada equivalent ] in value to the losses suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .|equivalent|sg|NN|[u'cognition.n.01']||NP|[]|['NNP']|False|[]|['in', 'value']|['Canada']|[u'concession', 'to']|NN|False|True|False|17|False|PP|in|to|False|0.571428571429|THE|ZERO
2216|ZERO|"data/parsed/22/wsj_2214.mrg|3|81"|If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to Canada equivalent in [ value ] to the losses suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .|value|sg|NN|[u'numerical_quantity.n.01']||NP|[]|[]|False|[]|['to']|[]|['equivalent', 'in']|NN|False|True|False|15|False|PP|to|to|False|0.627906976744|THE|ZERO
2285|ZERO|"data/parsed/22/wsj_2215.mrg|2|17"|To spend a carefree , [ idle day , ] When duty calls , to pay no heed , To while the precious hours away -- Character is what you need .|day|sg|NN|[u'time_unit.n.01']||S|[',']|['JJ']|False|[',']|['When', 'duty']|['idle']|['carefree', ',']|NN|False|False|False|0|False|||is|False|0.178571428571|THE|ZERO
2309|ZERO|"data/parsed/22/wsj_2216.mrg|2|45"|The plan would permit the bank holding company to retire its bank and debenture obligations through [ exchanges ] of cash and equity .|exchange|pl|NN|[u'chemical_phenomenon.n.01']||NP|[]|[]|False|[]|['of', 'cash']|[]|[u'obligation', 'through']|NN|False|True|False|5|True|PP|of|to|False|0.727272727273|THE|ZERO
2318|ZERO|"data/parsed/22/wsj_2216.mrg|3|62"|The FDIC , which in 1986 provided $ 130 million in open-bank assistance to BancOklahoma 's Bank of Oklahoma , [ Tulsa , unit ] will continue to maintain $ 90 million in preferred stock in the Tulsa bank unit .|unit|sg|NN|[u'definite_quantity.n.01']||S|[]|['NNP', ',']|False|[]|['will', 'continue']|['Tulsa', ',']|['Oklahoma', ',']|NN|False|False|False|0|False|||will|False|0.540540540541|THE|ZERO
2322|ZERO|"data/parsed/22/wsj_2216.mrg|4|7"|In [ exchange ] for the other $ 40 million , the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from the 55 % option the FDIC received under terms of the 1986 capital infusion .|exchange|sg|NN|[u'chemical_phenomenon.n.01']||NP|[]|[]|True|[]|['for']|[]|['In']|NN|False|True|False|7|False|PP|for|will|True|0.0222222222222|THE|ZERO
2334|ZERO|"data/parsed/22/wsj_2216.mrg|5|8"|In [ exchange ] for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and the proceeds from the future sales of four subsidiary banks to private buyers , the bank holding company said S .|exchange|sg|NN|[u'chemical_phenomenon.n.01']||NP|[]|[]|True|[]|['for']|[]|['In']|NN|False|True|False|9|False|PP|for|will|True|0.0227272727273|THE|ZERO
2337|ZERO|"data/parsed/22/wsj_2216.mrg|5|38"|In exchange for the $ 76 million they are owed , [ creditor banks ] will receive 3.9 million shares of BancOklahoma common stock and the proceeds from the future sales of four subsidiary banks to private buyers , the bank holding company said S .|bank|pl|NN|[]||S|[]|['NN']|True|[]|['will', 'receive']|['creditor']|[u'owe', ',']|NN|False|False|False|0|False|||will|True|0.255813953488|THE|ZERO
2350|ZERO|"data/parsed/22/wsj_2216.mrg|6|50"|Also under the agreement , debenture holders will get one million shares of common stock in [ exchange ] for $ 7.7 million in debentures and holders of BancOklahoma 's series A preferred stock will receive 1.25 shares of common stock for every share of preferred they own , the company said S .|exchange|sg|NN|[u'chemical_phenomenon.n.01']||NP|[]|[]|True|[]|['for', '$']|[]|['stock', 'in']|NN|False|True|False|6|False|PP|for|will|True|0.307692307692|THE|ZERO
2391|ZERO|"data/parsed/22/wsj_2218.mrg|2|7"|Under [ terms ] of the offer , the sporting goods maker will swap $ 9 face amount of 9 1\\/4 % subordinated notes due 1996 and one warrant for each common share .|term|pl|NN|[u'status.n.01']||NP|[]|[]|False|[]|['of']|[]|['Under']|NN|False|True|False|4|True|PP|of|will|False|0.03125|THE|ZERO
2409|ZERO|"data/parsed/22/wsj_2218.mrg|5|17"|BSN also is offering [ $ 850 face amount ] of new notes and 64 common-stock warrants for each $ 1,000 face amount of its convertible debt outstanding .|amount|sg|NN|[u'assets.n.01']||NP|[]|['$', 'CD', 'NN']|True|[]|['of', 'new']|['$', '<number>', 'face']|[u'be', u'offer']|NN|False|True|False|3|True|PP|of|is|True|0.166666666667|THE|ZERO
2582|ZERO|"data/parsed/22/wsj_2220.mrg|2|28"|Purchase of the 76-story structure is subject to [ execution ] of a definitive agreement , approval by the boards of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .|execution|sg|NN|[u'corporal_punishment.n.01']||NP|[]|[]|False|[]|['of']|[]|['subject', 'to']|NN|False|True|False|5|True|PP|of|is|False|0.25|THE|ZERO
2597|ZERO|"data/parsed/22/wsj_2221.mrg|2|65"|Individual investors , investment firms and arbitragers who speculate in the stocks of takeover candidates can suffer liquidity and payment problems when [ stocks dive ; ] those investors often borrow heavily to buy their holdings and use the stocks as collateral for loans .|dive|sg|NN|[u'cabaret.n.01']||S|[':']|['NNS']|False|[';']|['those', u'investor']|[u'stock']|[u'problem', 'when']|NN|False|False|False|0|False|||borrow|False|0.536585365854|THE|ZERO
2630|ZERO|"data/parsed/22/wsj_2222.mrg|1|21"|What happened Friday shows that [ financial markets ] are not yet sufficiently coordinated to handle another meltdown in prices .|market|pl|NN|[u'activity.n.01']||S|[]|['JJ']|False|[]|[u'be', 'not']|['financial']|[u'show', 'that']|NN|False|False|False|0|False|||are|False|0.277777777778|THE|ZERO
