|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
2635|ZERO|"data/parsed/22/wsj_2222.mrg|2|28"|No fiddling with systems and procedures will ever prevent [ markets ] from suffering a panic wave of selling .|market|pl|NN|[u'activity.n.01']||VP|[]|[]|True|[]|['from', u'suffer']|[]|['ever', 'prevent']|NN|False|False|False|0|False|||will|True|0.5|THE|ZERO
2638|ZERO|"data/parsed/22/wsj_2222.mrg|3|5"|But [ markets ] can operate with greater or lesser efficiency .|market|pl|NN|[u'activity.n.01']||S|[]|[]|True|[]|['can', 'operate']|[]|['But']|NN|False|False|False|0|False|||can|True|0.1|THE|ZERO
2641|ZERO|"data/parsed/22/wsj_2222.mrg|4|15"|After the 1987 plunge , [ markets ] agreed that it would be wise to halt trading whenever panic conditions arose .|market|pl|NN|[u'activity.n.01']||S|[]|[]|True|[]|[u'agree', 'that']|[]|['plunge', ',']|NN|False|False|False|0|False|||agreed|True|0.25|THE|ZERO
2674|ZERO|"data/parsed/22/wsj_2222.mrg|9|31"|But there is also the possibility that shutting down [ markets ] will intensify fears and cause an even more abrupt slide in prices .|market|pl|NN|[u'activity.n.01']||VP|[]|[]|True|[]|['will', 'intensify']|[]|[u'shut', 'down']|NN|False|False|False|0|False|||shutting|True|0.391304347826|THE|ZERO
2690|ZERO|"data/parsed/22/wsj_2222.mrg|12|3"|[ Options markets ] stopped trading in many securities .|market|pl|NN|[u'activity.n.01']||S|[]|['NNS']|True|[]|[u'stop', u'trade']|['Options']|[]|NN|False|False|False|0|False|||stopped|True|0.0|THE|ZERO
2719|ZERO|"data/parsed/22/wsj_2222.mrg|20|10"|It is [ time ] to recognize that the New York Stock Exchange , the futures markets and the options markets , though physically separate , have actually become so closely intertwined as to constitute one market effectively .|time|sg|NN|[u'case.n.01']||NP|[]|[]|False|[]|['to', 'recognize']|[]|['It', u'be']|NN|False|True|False|34|False|SBAR|to|is|False|0.0540540540541|THE|ZERO
2744|ZERO|"data/parsed/22/wsj_2222.mrg|25|10"|It 's [ time ] for the exchanges and the Securities and Exchange Commission to agree on joint conditions for halting trading or staying open .|time|sg|NN|[u'case.n.01']||NP|[]|[]|True|[]|['for']|[]|"['It', ""'s""]"|NN|False|True|False|21|False|SBAR|for|'s|True|0.0833333333333|THE|ZERO
2748|ZERO|"data/parsed/22/wsj_2222.mrg|25|54"|It 's time for the exchanges and the Securities and Exchange Commission to agree on joint conditions for [ halting trading or staying open . ]|open|sg|NN|[u'area.n.01']||PP|['.']|['NN', 'NN', 'CC', 'NN']|True|['.']|[]|['halting', 'trading', 'or', 'staying']|[u'condition', 'for']|NN|False|False|False|0|False|||to|True|0.947368421053|THE|ZERO
2769|ZERO|"data/parsed/22/wsj_2222.mrg|29|22"|The rules should be established by [ agreement ] of the officials of all affected exchanges acting under the oversight and with the approval of the government regulatory agencies .|agreement|sg|NN|[u'statement.n.01']||NP|[]|[]|False|[]|['of']|[]|[u'establish', 'by']|NN|False|True|False|7|True|PP|of|should|False|0.214285714286|THE|ZERO
2780|ZERO|"data/parsed/22/wsj_2222.mrg|30|101"|Should the SEC and the Commodities Futures Trading Commission -LRB- which , with the SEC , regulates the Chicago stock-index markets -RRB- be unable to agree , the issue may have to be resolved by [ decision ] of the Treasury secretary .|decision|sg|NN|[u'choice.n.02']||NP|[]|[]|False|[]|['of']|[]|[u'resolve', 'by']|NN|False|True|False|5|True|PP|of|to|False|0.853658536585|THE|ZERO
2793|ZERO|"data/parsed/22/wsj_2222.mrg|33|4"|[ Telephone service ] has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .|service|sg|NN|[u'work.n.01']||S|[]|['NNP']|False|[]|[u'have', u'be']|['Telephone']|[]|NN|False|False|False|0|False|||has|False|0.0|THE|ZERO
2847|ZERO|"data/parsed/22/wsj_2223.mrg|4|21"|FMC Corp. and Baxter International say [ unions ] also wo n't like plant relocations and needed restructuring , which means layoffs .|union|pl|NN|[u'organization.n.01']||S|[]|[]|True|[]|['also', 'wo']|[]|['International', 'say']|NN|False|False|False|0|False|||wo|True|0.285714285714|THE|ZERO
2848|ZERO|"data/parsed/22/wsj_2223.mrg|4|36"|FMC Corp. and Baxter International say unions also wo n't like [ plant relocations and needed restructuring , ] which means layoffs .|restructuring|sg|NN|||NP|[',']|['NN', 'NNS', 'CC', 'JJ']|False|[',']|['which', u'mean']|['plant', u'relocation', 'and', 'needed']|"[""n't"", 'like']"|NN|False|True|False|4|False|SBAR|which|wo|False|0.6875|THE|ZERO
2854|ZERO|"data/parsed/22/wsj_2223.mrg|5|65"|Many employers have already begun moving to southern countries such as Spain and Italy , where wages are low and [ unions ] are weaker ; demand for trained labor and managers will rise there , FMC says S .|union|pl|NN|[u'organization.n.01']||S|[]|[]|True|[]|[u'be', u'weak']|[]|['low', 'and']|NN|False|False|False|0|False|||are|True|0.526315789474|THE|ZERO
2878|ZERO|"data/parsed/22/wsj_2223.mrg|9|40"|The players were heckled by a patron during a July 4 , 1988 , [ game ] with the Martinsville Phillies .|game|sg|NN|[u'activity.n.01']||NP|[]|[]|False|[]|['with']|[]|['<number>', ',']|NN|False|True|False|5|False|PP|with|were|False|0.7|THE|ZERO
2916|ZERO|"data/parsed/22/wsj_2223.mrg|16|12"|An Association of [ Academic Health Centers report ] urges freeing nurses from duties that do n't require special skills .|report|sg|NN|[u'document.n.01']||PP|[]|['NNP', 'NNP', 'NNPS']|False|[]|[u'urge', u'free']|['Academic', 'Health', 'Centers']|['Association', 'of']|NN|False|False|False|0|False|||urges|False|0.1875|THE|ZERO
2944|ZERO|"data/parsed/22/wsj_2223.mrg|20|22"|Many also use recruiting bonuses , [ tuition reimbursement , ] loan repayment or child-care help .|reimbursement|sg|NN|[u'compensation.n.01']||NP|[',']|['NN']|False|[',']|['loan', 'repayment']|['tuition']|[u'bonus', ',']|NN|False|True|False|6|False|NPB|loan|use|False|0.461538461538|THE|ZERO
2957|ZERO|"data/parsed/22/wsj_2223.mrg|23|47"|TREATING EMPLOYEES with respect is crucial for managers , says S consultant Hay Group after [ surveys ] of a million workers .|survey|pl|NN|[u'examination.n.01']||NP|[]|[]|True|[]|['of']|[]|['Group', 'after']|NN|False|True|False|5|True|PP|of||True|0.714285714286|THE|ZERO
2975|ZERO|"data/parsed/22/wsj_2223.mrg|26|63"|SPRUCING UP THE DIGS : About 200 employees of the Maryland Department of Economic and Employment Development for four months painted [ walls , ] polished and carpeted floors , bought plants , cleaned windows and blinds , and hung pictures at the agency 's Baltimore office .|wall|pl|NN|[u'partition.n.01']||S|[',']|[]|False|[',']|[u'polish', 'and']|[]|[u'month', u'paint']|NN|False|False|False|0|False|||bought|False|0.466666666667|THE|ZERO
2990|ZERO|"data/parsed/22/wsj_2223.mrg|28|50"|CURBING WAGE BOOSTS will get high priority again in 1990 collective bargaining , a Bureau of [ National Affairs survey ] of 250 companies with pacts expiring next year indicates S .|survey|sg|NN|[u'examination.n.01']||NP|[]|['NNP', 'NNP']|True|[]|['of', '<number>']|['National', 'Affairs']|['Bureau', 'of']|NN|False|True|False|8|True|PP|of|indicates|True|0.571428571429|THE|ZERO
2992|ZERO|"data/parsed/22/wsj_2223.mrg|28|70"|CURBING WAGE BOOSTS will get high priority again in 1990 collective bargaining , a Bureau of National Affairs survey of 250 companies with [ pacts ] expiring next year indicates S .|pact|pl|NN|[u'written_agreement.n.01']||S|[]|[]|False|[]|[u'expire', 'next']|[]|[u'company', 'with']|NN|False|False|False|0|False|||expiring|False|0.766666666667|THE|ZERO
3018|ZERO|"data/parsed/22/wsj_2223.mrg|32|3"|[ HOME-SALE LOSSES rise , ] but they 're often covered by employers .|rise|sg|NN|[u'emergence.n.01']||NP|[',']|['NNP', 'NNP']|False|[',']|['but', 'they']|['HOME-SALE', 'LOSSES']|[]|NN|False|True|False|1|False|CC|but||False|0.0|THE|ZERO
3022|ZERO|"data/parsed/22/wsj_2223.mrg|33|9"|But they [ search ] for ways to limit the damage .|search|sg|NN|[u'activity.n.01']||NP|[]|[]|False|[]|['for', u'way']|[]|['But', 'they']|NN|False|True|False|7|False|PP|for||False|0.2|THE|ZERO
3026|ZERO|"data/parsed/22/wsj_2223.mrg|34|13"|A third of [ 439 companies ] surveyed by the Employee Relocation Council report a rise in 1988 sales losses over 1987 .|company|pl|NN|[u'institution.n.01']||NP|[]|['CD']|False|[]|[u'survey', 'by']|['<number>']|['third', 'of']|NN|False|True|False|6|False|VP|surveyed|report|False|0.15|THE|ZERO
3050|ZERO|"data/parsed/22/wsj_2223.mrg|38|83"|Goodrich wo n't ensure loss coverage , but will prevent a `` catastrophic loss '' ; it has given some employees the full purchase price when values fell from [ concern ] over dangers posed by a disposal site .|concern|sg|NN|[u'interest.n.01']||NP|[]|[]|False|[]|['over', u'danger']|[]|['fell', 'from']|NN|False|True|False|8|False|PP|over|fell|False|0.763157894737|THE|ZERO
3070|ZERO|"data/parsed/22/wsj_2223.mrg|41|29"|THE CHECKOFF : The National Academy of Engineering gives [ two inventors ] of the semiconductor microchip a $ 350,000 achievement award ... .|inventor|pl|NN|[u'creator.n.02']||NP|[]|['CD']|False|[]|['of']|['two']|['Engineering', u'give']|NN|False|True|False|4|True|PP|of|gives|False|0.428571428571|THE|ZERO
3141|ZERO|"data/parsed/22/wsj_2224.mrg|10|85"|Of greater help , the Big Board chairman said SINV , was the `` natural circuit breaker '' of the weekend , that provided a breathing period that `` brought [ rationality ] back to the market .|rationality|sg|NN|[u'sanity.n.01']||VP|[]|[]|False|[]|['back', 'to']|[]|['``', u'bring']|NN|False|False|False|0|False|||brought|False|0.833333333333|THE|ZERO
3156|ZERO|"data/parsed/22/wsj_2225.mrg|4|4"|[ Chicken business ] is off largely because of more competition from grocery-store convenience food , home-delivered pizza and other takeout fare , says S a spokesman for the report , a publication of NPD Group , a market research firm in Port Washington , N.Y .|business|sg|NN|[u'enterprise.n.02']||S|[]|['NNP']|True|[]|[u'be', 'off']|['Chicken']|[]|NN|False|False|False|0|False|||is|True|0.0|THE|ZERO
3175|ZERO|"data/parsed/22/wsj_2225.mrg|6|5"|[ Church 's ] Fried Chicken Inc. and Popeye 's Famous Fried Chicken Inc. , which have merged , are still troubled by overlapping restaurant locations .|Church|sg|NNP|[u'religion.n.02']||NPB|['POS']|[]|False|"[""'s""]"|['Fried', 'Chicken']|[]|[]|NN|True|False|False|0|False|||are||0.0|THE|ZERO
3179|ZERO|"data/parsed/22/wsj_2225.mrg|7|3"|[ Chicken chains ] also are feeling more pressure from McDonald 's Corp. , which introduced its McChicken sandwich this year and recently tested the sale of individual pieces of chicken .|chain|pl|NN|[u'shackle.n.01']||S|[]|['NNP']|True|[]|['also', u'be']|['Chicken']|[]|NN|False|False|False|0|False|||are|True|0.0|THE|ZERO
3187|ZERO|"data/parsed/22/wsj_2225.mrg|7|84"|Chicken chains also are feeling more pressure from McDonald 's Corp. , which introduced its McChicken sandwich this year and recently tested the sale of individual pieces of [ chicken . ]|chicken|sg|NN|[u'poultry.n.02']||PP|['.']|[]|True|['.']|[]|[]|[u'piece', 'of']|NN|False|False|False|0|False|||introduced|True|0.965517241379|THE|ZERO
3199|ZERO|"data/parsed/22/wsj_2225.mrg|10|20"|Kentucky Fried Chicken also is testing [ home-delivery ] of chicken , which could be a hit with stay-at-home diners .|home-delivery|sg|NN|||NP|[]|[]|False|[]|['of', 'chicken']|[]|[u'be', u'test']|NN|False|True|False|12|True|PP|of|is|False|0.315789473684|THE|ZERO
3200|ZERO|"data/parsed/22/wsj_2225.mrg|10|27"|Kentucky Fried Chicken also is testing home-delivery of [ chicken , ] which could be a hit with stay-at-home diners .|chicken|sg|NN|[u'poultry.n.02']||NP|[',']|[]|True|[',']|['which', 'could']|[]|['home-delivery', 'of']|NN|False|True|False|9|False|SBAR|which|is|True|0.444444444444|THE|ZERO
3205|ZERO|"data/parsed/22/wsj_2225.mrg|11|31"|But some fast-food industry analysts say problems with keeping [ chicken ] warm and fresh must be solved first .|chicken||JJ|[u'poultry.n.02']||S|[]|[]|True|[]|['warm', 'and']|[]|['with', u'keep']|JJ|False|False|False|0|False|||warm||0.5|THE|ZERO
3320|ZERO|"data/parsed/22/wsj_2225.mrg|37|27"|That does n't thrill Procter & Gamble Co. , [ maker ] of Cascade dishwasher detergent .|maker|sg|NN|[u'creator.n.02']||NP|[]|[]|False|[]|['of', 'Cascade']|[]|['Co.', ',']|NN|False|True|False|5|True|PP|of|does|False|0.6|THE|ZERO
3325|ZERO|"data/parsed/22/wsj_2225.mrg|38|37"|A company spokesman questioned the validity of the list , noting that [ chlorine ] is present in all major dishwasher detergents .|chlorine|sg|NN|[u'chemical_element.n.01', u'gas.n.02', u'halogen.n.01']||S|[]|[]|False|[]|[u'be', 'present']|[]|[u'note', 'that']|NN|False|False|False|0|False|||is|False|0.571428571429|THE|ZERO
3354|ZERO|"data/parsed/22/wsj_2225.mrg|46|39"|Says Mr. Dahlen , `` We 'll still be forced to sell [ items ] we might not philosophically agree with . ''|item|pl|NN|[u'part.n.01']||NP|[]|[]|False|[]|['we', 'might']|[]|['to', 'sell']|NN|False|True|False|8|False|SBAR|we|to|False|0.571428571429|THE|ZERO
3435|ZERO|"data/parsed/22/wsj_2227.mrg|3|50"|Kent Colton , NAHB executive vice president , argues that the U.S. faces a multifaceted housing crisis -- [ reduced affordability ] of homes for first-time buyers , increased homelessness , and lower apartment construction rates -- that will be `` very difficult '' to solve `` without expanded federal resources . ''|affordability|sg|NN|||NP|[]|['JJ']|False|[]|['of', u'home']|['reduced']|['crisis', '--']|NN|False|True|False|6|True|PP|of|faces|False|0.36|THE|ZERO
3484|ZERO|"data/parsed/22/wsj_2227.mrg|13|14"|Moreover , explains one [ HUD official , ] the NAHB remains susceptible to internal pressure from members that specialize in subsidized production .|official|sg|NN|[u'skilled_worker.n.01']||SINV|[',']|['NNP']|False|[',']|['NAHB']|['HUD']|[u'explain', 'one']|NN|False|False|False|0|False||||False|0.2|THE|ZERO
3569|ZERO|"data/parsed/22/wsj_2227.mrg|25|33"|The association , a majority of whose 156,000 members build [ fewer than 25 units ] a year , is like many other business lobbies .|unit|pl|NN|[u'definite_quantity.n.01']||NP|[]|['JJR', 'IN', 'CD']|False|[]|['year']|[u'few', 'than', '<number>']|[u'member', 'build']|NN|False|True|False|3|False|NPB|a|build|False|0.47619047619|THE|ZERO
3576|ZERO|"data/parsed/22/wsj_2227.mrg|26|39"|Explains Sheila MacDonald of the National Taxpayers Union : `` It treads in [ two worlds . ]|world|pl|NN|[u'natural_object.n.01']||PP|['.']|['CD']|False|['.']|[]|['two']|[u'tread', 'in']|NN|False|False|False|0|False|||treads|False|0.928571428571|THE|ZERO
3599|ZERO|"data/parsed/22/wsj_2227.mrg|30|28"|As Mr. Colton of the NAHB acknowledges : `` [ Government ] is not going to solve the problem ... .|Government|sg|NN|[u'polity.n.02']||S|[]|[]|False|[]|[u'be', 'not']|[]|[':', '``']|NN|False|False|False|0|False|||is|False|0.473684210526|THE|ZERO
3617|ZERO|"data/parsed/22/wsj_2227.mrg|35|9"|-LRB- See [ related story : `` ] And Bills to Make Wishes Come True '' -- WSJ Oct. 17 , 1989 .|story|sg|NN|[u'message.n.02']||VP|[':', '``']|['VBN']|False|[':', '``']|['And', 'Bills']|[u'relate']|['-LRB-', 'See']|NN|False|False|False|0|False|||See|False|0.111111111111|THE|ZERO
3634|ZERO|"data/parsed/22/wsj_2228.mrg|2|37"|According to diplomatic sources in Brussels , most EC leaders agree that [ talks ] should begin in the second half of 1990 , and will make a declaration on that during a summit meeting in Strasbourg , France , on Dec. 8 and 9 .|talk|pl|NN|[u'discussion.n.02']||S|[]|[]|True|[]|['should', 'begin']|[]|['agree', 'that']|NN|False|False|False|0|False|||should|True|0.272727272727|THE|ZERO
3661|ZERO|"data/parsed/22/wsj_2228.mrg|6|80"|French President Francois Mitterrand fought to set a date for the conference during the EC summit in Madrid last June , but the move was scuttled because of [ opposition ] by Mrs. Thatcher and West German Chancellor Helmut Kohl .|opposition|sg|NN|[u'action.n.01']||PP|[]|[]|True|[]|['by', 'Mrs.']|[]|['because', 'of']|NN|False|False|False|0|False|||was|True|0.717948717949|THE|ZERO
3697|ZERO|"data/parsed/22/wsj_2229.mrg|6|21"|The ceremonies began Friday afternoon when [ word ] spread that the UAL buy-out was collapsing .|word|sg|NN|[u'language_unit.n.01']||S|[]|[]|False|[]|['spread', 'that']|[]|['afternoon', 'when']|NN|False|False|False|0|False|||spread|False|0.4|THE|ZERO
3715|ZERO|"data/parsed/22/wsj_2229.mrg|8|65"|Lots of other entries made up the parade , of course -- notably a surprisingly large increase in producer prices , signalling [ Federal Reserve tightness ; ] and the Bush administration 's -LRB- temporary ? -RRB- defeat in trying to lower the capital-gains tax .|tightness|sg|NN|[u'lack.n.01']||NP|[':']|['NNP', 'NNP']|False|[';']|['and']|['Federal', 'Reserve']|[',', u'signal']|NN|False|True|False|1|False|CC|and|signalling|False|0.536585365854|THE|ZERO
3722|ZERO|"data/parsed/22/wsj_2229.mrg|9|51"|As usual , few favorable reviews were heard for that ever-present marching band of program traders , although [ most serious studies ] suggest they only play the music that others write .|study|pl|NN|[u'examination.n.01']||S|[]|['RBS', 'JJ']|False|[]|['suggest', 'they']|['most', 'serious']|[',', 'although']|NN|False|False|False|0|False|||suggest|False|0.620689655172|THE|ZERO
3846|ZERO|"data/parsed/22/wsj_2229.mrg|27|19"|Is this a case where [ private markets ] are approving of Washington 's bashing of Wall Street ?|market|pl|NN|[u'activity.n.01']||S|[]|['JJ']|True|[]|[u'be', u'approve']|['private']|['case', 'where']|NN|False|False|False|0|False|||are|True|0.3125|THE|ZERO
3866|ZERO|"data/parsed/22/wsj_2229.mrg|30|73"|The national economic interests are much better served allowing the private interests of bankers and investors be the ultimate judges of the investment quality of [ various LBO deals ] and leveraged restructurings .|deal|pl|NN|[u'transaction.n.01']||PP|[]|['JJ', 'NNP']|True|[]|['and', 'leveraged']|['various', 'LBO']|['quality', 'of']|NN|False|False|False|0|False|||be|True|0.833333333333|THE|ZERO
3928|ZERO|"data/parsed/22/wsj_2229.mrg|40|128"|Any such attempt to distinguish `` good debt '' from `` bad debt , '' or to draw the line at a particular industry , such as the airlines , is likely to blunt the spur that the proper amount of leverage provides both to [ equity markets ] and economic efficiency in general .|market|pl|NN|[u'activity.n.01']||PP|[]|['NN']|True|[]|['and', 'economic']|['equity']|['both', 'to']|NN|False|False|False|0|False|||provides|True|0.865384615385|THE|ZERO
3938|ZERO|"data/parsed/22/wsj_2229.mrg|42|12"|Mr. Jarrell , [ former top economist ] at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .|economist|sg|NN|[u'social_scientist.n.01']||NP|[]|['JJ', 'JJ']|False|[]|['at']|['former', 'top']|['Jarrell', ',']|NN|False|True|False|7|False|PP|at|teaches|False|0.136363636364|THE|ZERO
3945|ZERO|"data/parsed/22/wsj_2230.mrg|1|16"|Tokyo share prices rebounded Tuesday [ morning , ] with the Nikkei index of 225 selected stocks rising 618.69 points to close the morning session at 35087.38 .|morning|sg|NN|[u'time_period.n.01']||VP|[',']|[]|False|[',']|['with']|[]|[u'rebound', 'Tuesday']|NN|False|False|False|0|False|||rebounded|False|0.2|THE|ZERO
3962|ZERO|"data/parsed/22/wsj_2230.mrg|4|12"|By 10 a.m. [ Tokyo time , ] the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .|time|sg|NN|[u'case.n.01']||NP|[',']|['NNP']|False|[',']|['index']|['Tokyo']|['<number>', 'a.m.']|NN|False|False|False|0|False|||was|False|0.136363636364|THE|ZERO
4040|ZERO|"data/parsed/22/wsj_2230.mrg|17|23"|The day 's decline was generally in [ line ] with analysts ' weekend predictions .|line|sg|NN|[u'formation.n.01']||NP|[]|[]|False|[]|['with', u'analyst']|[]|['generally', 'in']|NN|False|True|False|6|False|PP|with|was|False|0.5|THE|ZERO
4086|ZERO|"data/parsed/22/wsj_2230.mrg|26|26"|But its performance did bear some resemblance to [ events ] of two years ago , during the October 1987 global stock market crash .|event|pl|NN|[u'psychological_feature.n.01']||NP|[]|[]|False|[]|['of', 'two']|[]|['resemblance', 'to']|NN|False|True|False|14|True|PP|of|did|False|0.347826086957|THE|ZERO
4142|ZERO|"data/parsed/22/wsj_2230.mrg|35|12"|Isao Ushikubo , [ general manager ] of the investment research department at Toyo Trust & Banking Co. , also was optimistic .|manager|sg|NN|[u'administrator.n.01']||NP|[]|['JJ']|False|[]|['of']|['general']|['Ushikubo', ',']|NN|False|True|False|12|True|PP|of|was|False|0.15|THE|ZERO
4283|ZERO|"data/parsed/22/wsj_2230.mrg|56|59"|Richard Chenevix-Trench , a director at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit [ bottom ] yet but is close .|bottom|sg|NN|[u'side.n.04']||VP|[]|[]|False|[]|['yet', 'but']|[]|"[""n't"", 'hit']"|NN|False|False|False|0|False|||has|False|0.777777777778|THE|ZERO
4311|ZERO|"data/parsed/22/wsj_2230.mrg|60|92"|Nestor Hinzack , an analyst at brokerage firm Burdett , Buckeridge & Young Ltd. , described the market 's performance as `` sheep-like '' as investors fled to bluechip Australian stocks and shunned [ entrepreneurial companies ] they perceived as having any takeover premium built into the price .|company|pl|NN|[u'institution.n.01']||NP|[]|['JJ']|False|[]|['they', u'perceive']|['entrepreneurial']|['and', u'shun']|NN|False|True|False|2|False|SBAR|they|fled|False|0.717391304348|THE|ZERO
4445|ZERO|"data/parsed/22/wsj_2231.mrg|17|15"|He 's running for [ governor . ]|governor|sg|NN|[u'politician.n.01']||PP|['.']|[]|False|['.']|[]|[]|[u'run', 'for']|NN|False|False|False|0|False|||'s|False|0.8|THE|ZERO
4453|ZERO|"data/parsed/22/wsj_2231.mrg|18|93"|Mr. Van de Kamp is the one who collected the plans from the various radical environmental groups and cobbled them into a single unwieldy initiative to be placed on the ballot for [ election ] on Nov. 6 , 1990 .|election|sg|NN|[u'vote.n.02']||PP|[]|[]|False|[]|['on', 'Nov.']|[]|['ballot', 'for']|NN|False|False|False|0|False|||collected|False|0.820512820513|THE|ZERO
4511|ZERO|"data/parsed/22/wsj_2231.mrg|30|51"|Mr. Van de Kamp and his allies may be hoping that the environment is such a mom and [ apple-pie issue ] among certain segments of California 's population now that almost any collection of anti-scientific , anti-pocketbook nonsense can pass under its rubric .|issue|sg|NN|[u'content.n.05']||NP|[]|['JJ']|False|[]|['among', 'certain']|['apple-pie']|['mom', 'and']|NN|False|False|False|0|False|||is|False|0.428571428571|THE|ZERO
4553|ZERO|"data/parsed/22/wsj_2232.mrg|3|11"|Spurred by [ waves ] of large-scale buying in blue-chip stocks , the Dow Jones Industrial Average rallied yesterday and erased about a half of Friday 's 190.58-point plunge , gaining 88.12 to 2657.38 .|wave|pl|NN|[u'movement.n.03']||NP|[]|[]|False|[]|['of', 'large-scale']|[]|['Spurred', 'by']|NN|False|True|False|7|True|PP|of|Spurred|False|0.0606060606061|THE|ZERO
4583|ZERO|"data/parsed/22/wsj_2232.mrg|6|76"|A troubling sign : Declining stocks on the Big Board outnumbered advancers , 975 to 749 , and the over-the-counter market that includes many smaller stocks suffered [ aftershocks ] of Friday 's late Big Board plunge .|aftershock|pl|NN|[u'tremor.n.02']||NP|[]|[]|False|[]|['of', 'Friday']|[]|[u'stock', u'suffer']|NN|False|True|False|8|True|PP|of|suffered|False|0.75|THE|ZERO
4590|ZERO|"data/parsed/22/wsj_2232.mrg|8|21"|Meanwhile , in a divergence in [ two ] of the market 's most important indicators , the Dow industrials ' sister average , the 20-stock Dow Jones Transportation Average , tumbled 102.06 to 1304.23 -- its second-worst decline next to the 164.78-point fall during the 1987 crash .|two||CD|[u'digit.n.01']||NP|[]|[]|False|[]|['of']|[]|['divergence', 'in']|CD|False|True|False|8|True|PP|of|tumbled||0.127659574468|THE|ZERO
4629|ZERO|"data/parsed/22/wsj_2232.mrg|12|63"|`` Everyone was a little concerned about the general narrowness of the rally and failure of the OTC market to get into [ plus territory . ]|territory|sg|NN|[u'region.n.03']||PP|['.']|['JJ']|False|['.']|[]|['plus']|['get', 'into']|NN|False|False|False|0|False|||to|False|0.95652173913|THE|ZERO
4637|ZERO|"data/parsed/22/wsj_2232.mrg|15|11"|The rally gave [ credence , ] at least for now , to the pre-trading declaration of Big Board Chairman John J. Phelan Jr. that Friday 's market debacle was `` an abnormal condition , and not a disaster . ''|credence|sg|NN|[u'attitude.n.01']||VP|[',']|[]|False|[',']|['at', 'least']|[]|['rally', u'give']|NN|False|False|False|0|False|||gave|False|0.0789473684211|THE|ZERO
