|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
4647|ZERO|"data/parsed/22/wsj_2232.mrg|16|22"|But to traders , it looked like [ disaster ] on the 9:30 a.m. opening bell .|disaster|sg|NN|[u'adversity.n.01']||PP|[]|[]|True|[]|['on']|[]|[u'look', 'like']|NN|False|False|False|0|False|||looked|True|0.466666666667|THE|ZERO
4676|ZERO|"data/parsed/22/wsj_2232.mrg|21|46"|More stocks opened over the ensuing half hour , as the 49 Big Board specialist firms in [ charge ] of keeping the market orderly groped to find buy orders from major brokerage firms to match the selling flood .|charge|sg|NN|[u'attack.n.01']||NP|[]|[]|False|[]|['of', u'keep']|[]|[u'firm', 'in']|NN|False|True|False|20|True|PP|of|opened|False|0.447368421053|THE|ZERO
4713|ZERO|"data/parsed/22/wsj_2232.mrg|28|18"|With program traders seemingly in [ charge , ] buyers backed away from the market and watched stocks fall .|charge|sg|NN|[u'attack.n.01']||PP|[',']|[]|False|[',']|[u'buyer', u'back']|[]|['seemingly', 'in']|NN|False|False|False|0|False|||backed|False|0.294117647059|THE|ZERO
4742|ZERO|"data/parsed/22/wsj_2232.mrg|34|14"|Roland M. Machold , [ director ] of the New Jersey Division of Investment , which oversees $ 29 billion in investments , said the `` first thing we did was to double our orders '' yesterday morning .|director|sg|NN|[u'administrator.n.01']||NP|[]|[]|False|[]|['of']|[]|['Machold', ',']|NN|False|True|False|16|True|PP|of|said|False|0.108108108108|THE|ZERO
4806|ZERO|"data/parsed/22/wsj_2232.mrg|47|28"|Still , the market had n't yet crossed into [ positive territory , ] and traders were glum .|territory|sg|NN|[u'region.n.03']||PP|[',']|['JJ']|False|[',']|['and', u'trader']|['positive']|[u'cross', 'into']|NN|False|False|False|0|False|||had|False|0.6|THE|ZERO
4834|ZERO|"data/parsed/22/wsj_2232.mrg|51|60"|Around him , scores of traders seemed to get a burst of energy ; their boss broke out [ bottles ] of Perrier water to cool them off .|bottle|pl|NN|[u'vessel.n.03']||NP|[]|[]|False|[]|['of', 'Perrier']|[]|[u'break', 'out']|NN|False|True|False|8|True|PP|of|to|False|0.666666666667|THE|ZERO
4835|ZERO|"data/parsed/22/wsj_2232.mrg|51|67"|Around him , scores of traders seemed to get a burst of energy ; their boss broke out bottles of [ Perrier water ] to cool them off .|water|sg|NN|[u'binary_compound.n.01', u'liquid.n.03']||NP|[]|['NNP']|False|[]|['to', 'cool']|['Perrier']|[u'bottle', 'of']|NN|False|True|False|5|False|SBAR|to|to|False|0.769230769231|THE|ZERO
4837|ZERO|"data/parsed/22/wsj_2232.mrg|52|6"|Among [ Big Board specialists , ] the cry was `` Pull your offers '' -- meaning that specialists soon expected to get higher prices for their shares .|specialist|pl|NN|[u'expert.n.01']||PP|[',']|['NNP', 'NNP']|False|[',']|['cry']|['Big', 'Board']|['Among']|NN|False|False|False|0|False|||was|False|0.0416666666667|THE|ZERO
4867|ZERO|"data/parsed/22/wsj_2232.mrg|57|57"|Over the weekend , clearing firms told the Chicago market makers to get out of their positions at any cost [ Monday morning . ]|morning|sg|NN|[u'time_period.n.01']||VP|['.']|['NNP']|False|['.']|[]|['Monday']|['any', 'cost']|NN|False|False|False|0|False|||to|False|0.952380952381|THE|ZERO
5011|ZERO|"data/parsed/22/wsj_2232.mrg|80|4"|[ Federal National Mortgage Association , ] a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .|Association|sg|NNP|[u'organization.n.01']||NP|[',']|['NNP', 'NNP', 'NNP']|False|[',']|['recently']|['Federal', 'National', 'Mortgage']|[]|NN|True|True|False|5|False|NPB|a|climbed||0.0|THE|ZERO
5104|ZERO|"data/parsed/22/wsj_2232.mrg|94|15"|Maybe they learned from [ experience . '' ]|experience|sg|NN|[u'education.n.02']||PP|"['.', ""''""]"|[]|False|"['.', ""''""]"|[]|[]|[u'learn', 'from']|NN|False|False|False|0|False|||learned|False|0.8|THE|ZERO
5255|ZERO|"data/parsed/22/wsj_2234.mrg|14|4"|[ `` Anybody ] can vote as they want , '' said Rep. William Lehman -LRB- D. , Fla. -RRB- , head of the House conferees .|Anybody|sg|NN|||S|[]|['``']|False|[]|['can', 'vote']|['``']|[]|NN|False|False|False|0|False|||can|False|0.0|THE|ZERO
5321|ZERO|"data/parsed/22/wsj_2234.mrg|22|62"|Though smaller in total dollars , the conference agreed to preserve an estimated $ 30.6 million in controversial subsidies to [ carriers ] serving rural or isolated airports .|carrier|pl|NN|[u'traveler.n.01']||NP|[]|[]|True|[]|[u'serve', 'rural']|[]|[u'subsidy', 'to']|NN|False|True|False|2|False|VP|serving|to|True|0.740740740741|THE|ZERO
5543|ZERO|"data/parsed/22/wsj_2239.mrg|4|44"|Our markets were closely tied to the stock market , '' said Joel Kazis , [ manager ] of trading at Smith Barney , Harris Upham & Co .|manager|sg|NN|[u'administrator.n.01']||NP|[]|[]|False|[]|['of', 'trading']|[]|['Kazis', ',']|NN|False|True|False|2|True|PP|of||False|0.555555555556|THE|ZERO
5548|ZERO|"data/parsed/22/wsj_2239.mrg|5|18"|`` Friday 's flight to [ quality ] was no longer needed once the stock market found its legs , '' he said .|quality|sg|NN|[u'attribute.n.02']||PP|[]|[]|True|[]|[u'be', 'no']|[]|['flight', 'to']|NN|False|False|False|0|False|||was|True|0.227272727273|THE|ZERO
5565|ZERO|"data/parsed/22/wsj_2239.mrg|8|29"|But when stocks began to climb instead , [ prices ] of Treasury bonds declined .|price|pl|NN|[u'value.n.02']||NP|[]|[]|True|[]|['of', 'Treasury']|[]|['instead', ',']|NN|False|True|False|3|True|PP|of|declined|True|0.571428571429|THE|ZERO
5656|ZERO|"data/parsed/22/wsj_2239.mrg|26|35"|`` I think the willingness of securities companies to make [ markets ] for high-yield issues improved the sentiment for junk bonds , '' said John Lonski , an economist at Moody 's Investors Service Inc .|market|pl|NN|[u'activity.n.01']||VP|[]|[]|True|[]|['for', 'high-yield']|[]|['to', 'make']|NN|False|False|False|0|False|||to|True|0.285714285714|THE|ZERO
5699|ZERO|"data/parsed/22/wsj_2239.mrg|33|47"|`` We went down 3\\/4 point in 10 minutes right before lunch , then after [ lunch ] we went up 3\\/4 point in 12 minutes , '' he said .|lunch|sg|NN|[u'meal.n.01']||S|[]|[]|False|[]|['we', u'go']|[]|['then', 'after']|NN|False|False|False|0|False|||went|True|0.51724137931|THE|ZERO
5706|ZERO|"data/parsed/22/wsj_2239.mrg|34|23"|In Tokyo , trading is halted during [ lunchtime . ]|lunchtime|sg|NN|[u'mealtime.n.01']||PP|['.']|[]|False|['.']|[]|[]|[u'halt', 'during']|NN|False|False|False|0|False|||is|False|0.875|THE|ZERO
5726|ZERO|"data/parsed/22/wsj_2239.mrg|38|3"|[ Industrial production ] is expected to have declined 0.2 % , according to a consensus of economists surveyed by Dow Jones Capital Markets Report .|production|sg|NN|[u'act.n.02']||S|[]|['JJ']|True|[]|[u'be', u'expect']|['Industrial']|[]|NN|False|False|False|0|False|||is|True|0.0|THE|ZERO
5742|ZERO|"data/parsed/22/wsj_2239.mrg|42|8"|Meanwhile , [ agency supply ] is expected to weigh heavily on the market today when the Federal Home Loan Bank prices a $ 2.3 billion offering of one-year , three-year , five-year and 10-year maturities .|supply|sg|NN|[u'indefinite_quantity.n.01']||S|[]|['NN']|False|[]|[u'be', u'expect']|['agency']|['Meanwhile', ',']|NN|False|False|False|0|False|||is|False|0.0588235294118|THE|ZERO
5755|ZERO|"data/parsed/22/wsj_2239.mrg|44|3"|[ Resolution Funding ] is a division of Resolution Trust Corp. , the new federal agency created to bail out the nation 's troubled thrifts .|Funding|sg|NNP|[u'resource.n.01']||S|[]|['NNP']|True|[]|[u'be']|['Resolution']|[]|NN|True|False|False|0|False|||is||0.0|THE|ZERO
5820|ZERO|"data/parsed/22/wsj_2239.mrg|58|30"|Thus , higher bidding narrows the investor 's return while [ lower bidding ] widens it .|bidding|sg|NN|[u'speech_act.n.01']||S|[]|['JJR']|False|[]|[u'widen', 'it']|[u'low']|['return', 'while']|NN|False|False|False|0|False|||widens|True|0.714285714286|THE|ZERO
5841|ZERO|"data/parsed/22/wsj_2239.mrg|67|6"|Among [ benchmark issues : -- ] Japan 's No. 111 4.6 % bond due 1998 ended on brokers screens at 96.15 , up 1.17 point .|issue|pl|NN|[u'content.n.05']||PP|[':', ':']|['JJ']|True|[':', '--']|"['Japan', ""'s""]"|['benchmark']|['Among']|NN|False|False|False|0|False|||ended|True|0.0454545454545|THE|ZERO
5875|ZERO|"data/parsed/22/wsj_2239.mrg|73|12"|Dealers said [ morning activity ] was hectic as prices dropped in response to gains in the stock market and losses in Treasury securities , but trading slowed to moderate levels in the afternoon .|activity|sg|NN|[u'act.n.02']||S|[]|['NN']|False|[]|[u'be', 'hectic']|['morning']|['Dealers', u'say']|NN|False|False|False|0|False|||was|False|0.0625|THE|ZERO
5960|ZERO|"data/parsed/22/wsj_2239.mrg|85|112"|Tax-exempts started the session flat to a touch higher on anticipation of further stock market erosion , but bond prices rapidly turned south as it became more clear that a repeat of the October 1987 crash was n't at [ hand . ]|hand|sg|NN|[u'extremity.n.05']||PP|['.']|[]|False|['.']|[]|[]|"[""n't"", 'at']"|NN|False|False|False|0|False|||was|False|0.975|THE|ZERO
5978|ZERO|"data/parsed/22/wsj_2239.mrg|89|4"|[ Florida Board ] of Education 's 7 1\\/4 % issue of 2023 was 5\\/8 point weaker at 99 1\\/2 bid .|Board|sg|NNP|[u'committee.n.01']||NP|[]|['NNP']|False|[]|['of', 'Education']|['Florida']|[]|NN|True|True|False|9|True|PP|of|was||0.0|THE|ZERO
6054|ZERO|"data/parsed/22/wsj_2241.mrg|3|62"|The spokesman said Laidlaw would n't increase its stake in ADT beyond 30 % `` without a great deal of [ thought '' ] because of British takeover regulations that require a company acquiring more than 30 % to extend an offer to the rest of the company 's shareholders .|thought|sg|NN|[u'content.n.05']||NP|"[""''""]"|[]|False|"[""''""]"|['because', 'of']|[]|['deal', 'of']|NN|False|True|False|9|False|PP|because|acquiring|False|0.416666666667|THE|ZERO
6132|ZERO|"data/parsed/22/wsj_2243.mrg|4|21"|Hertz Equipment had operating profit before [ depreciation ] of $ 90 million on revenue of $ 150 million in 1988 .|depreciation|sg|NN|[u'decrease.n.04']||NP|[]|[]|False|[]|['of', '$']|[]|['profit', 'before']|NN|False|True|False|4|True|PP|of|had|False|0.3|THE|ZERO
6263|ZERO|"data/parsed/22/wsj_2246.mrg|4|23"|Both of the New York-based companies print [ stock certificates and currency . ]|currency|sg|NN|[u'medium_of_exchange.n.01']||VP|['.']|['NN', 'NNS', 'CC']|False|['.']|[]|['stock', u'certificate', 'and']|[u'company', 'print']|NN|False|False|False|0|False|||print|False|0.875|THE|ZERO
6323|ZERO|"data/parsed/22/wsj_2247.mrg|4|32"|In 1989 , Regatta will have sales `` in [ excess ] of $ 10 million '' and will show a profit , Mr. Parker said S .|excess|sg|NN|[u'overabundance.n.02']||NP|[]|[]|False|[]|['of', '$']|[]|['``', 'in']|NN|False|True|False|5|True|PP|of|will|False|0.346153846154|THE|ZERO
6345|ZERO|"data/parsed/22/wsj_2248.mrg|1|31"|Enron Corp. , Houston , said the sale of [ preference units ] of its newly formed Enron NGL Partners L.P. master limited partnership subsidiary will result in an undetermined gain in the fourth quarter .|unit|pl|NN|[u'definite_quantity.n.01']||NP|[]|['NN']|False|[]|['of', 'its']|['preference']|['sale', 'of']|NN|False|True|False|12|True|PP|of|will|False|0.272727272727|THE|ZERO
6443|ZERO|"data/parsed/22/wsj_2250.mrg|4|27"|After years of fading into the background , [ two-tone photography ] is coming back .|photography|sg|NN|[u'pictorial_representation.n.01']||S|[]|['JJ']|False|[]|[u'be', u'come']|['two-tone']|['background', ',']|NN|False|False|False|0|False|||is|False|0.615384615385|THE|ZERO
6450|ZERO|"data/parsed/22/wsj_2250.mrg|6|24"|Portrait studios accustomed to shooting only in [ color report ] a rush to black-and-white portrait orders .|report|sg|NN|[u'document.n.01']||PP|[]|['NN']|False|[]|['rush']|['color']|['only', 'in']|NN|False|False|False|0|False|||shooting|False|0.466666666667|THE|ZERO
6457|ZERO|"data/parsed/22/wsj_2250.mrg|8|43"|What 's happening in photography mirrors the popularity of black and white in [ fashion , ] home furnishings and cinematography .|fashion|sg|NN|[u'property.n.02']||PP|[',']|[]|False|[',']|['home', u'furnishing']|[]|['white', 'in']|NN|False|False|False|0|False|||black|False|0.684210526316|THE|ZERO
6468|ZERO|"data/parsed/22/wsj_2250.mrg|10|60"|And classic black-and-white movies are enjoying a comeback on videocassette tapes , spurred , in part , by the backlash against [ colorization ] of old films .|colorization|sg|NN|||NP|[]|[]|False|[]|['of', 'old']|[]|['backlash', 'against']|NN|False|True|False|4|True|PP|of|are|False|0.807692307692|THE|ZERO
6477|ZERO|"data/parsed/22/wsj_2250.mrg|12|23"|Until two years ago , sales of [ black-and-white film ] had been declining steadily since the 1960s .|film|sg|NN|[u'product.n.02', u'show.n.03']||PP|[]|['JJ']|True|[]|[u'have', u'be']|['black-and-white']|[u'sale', 'of']|NN|False|False|False|0|False|||had|True|0.4375|THE|ZERO
6518|ZERO|"data/parsed/22/wsj_2250.mrg|19|43"|Agfa recently signed Olympic gold medalist Florence Griffith-Joyner to endorse a new line of [ black-and-white paper ] that 's geared to consumers and will compete directly with Kodak 's papers .|paper|sg|NN|[u'material.n.01']||NP|[]|['JJ']|True|[]|"['that', ""'s""]"|['black-and-white']|['line', 'of']|NN|False|True|False|5|False|SBAR|that|to|True|0.48275862069|THE|ZERO
6522|ZERO|"data/parsed/22/wsj_2250.mrg|20|9"|Slated for [ market ] by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says S an Agfa spokesman .|market|sg|NN|[u'activity.n.01']||PP|[]|[]|True|[]|['by']|[]|['Slated', 'for']|NN|False|False|False|0|False|||Slated|True|0.0555555555556|THE|ZERO
6539|ZERO|"data/parsed/22/wsj_2250.mrg|22|25"|Sales of Ilford 's four varieties of [ black-and-white film ] this year are outpacing growth in the overall market , although the company wo n't say by exactly how much .|film|sg|NN|[u'product.n.02', u'show.n.03']||NP|[]|['JJ']|True|[]|['this', 'year']|['black-and-white']|[u'variety', 'of']|NN|False|True|False|2|False|NPB|this|are|True|0.241379310345|THE|ZERO
6553|ZERO|"data/parsed/22/wsj_2250.mrg|25|38"|For baby boomers who grew up being photographed in color , [ black and white ] seems eye-catching and exotic .|JJ||ADJP|||S|[]|[]|False|[]|[u'seem', 'eye-catching']|[]|['color', ',']|ADJP|False|False|False|0|False|||seems|False|0.647058823529|THE|ZERO
6560|ZERO|"data/parsed/22/wsj_2250.mrg|26|72"|`` It has an archival , almost nostalgic quality to it , '' says Owen B. Butler , the chairman of the applied photography department at [ Rochester Institute ] of Technology .|Institute|sg|NNP|[u'association.n.01']||NP|[]|['NNP']|False|[]|['of', 'Technology']|['Rochester']|['department', 'at']|NN|True|True|False|3|True|PP|of|||0.866666666667|THE|ZERO
6576|ZERO|"data/parsed/22/wsj_2250.mrg|30|29"|Consider Gap Inc. , whose latest ad campaign features [ black-and-white shots ] of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .|shot|pl|NN|[u'propulsion.n.02']||NP|[]|['JJ']|False|[]|['of', 'Hollywood']|['black-and-white']|['campaign', u'feature']|NN|False|True|False|17|True|PP|of|features|False|0.333333333333|THE|ZERO
6595|ZERO|"data/parsed/22/wsj_2250.mrg|32|78"|`` We wanted to highlight the individual , not the environment , '' he says , `` and black and white allows you to do that better than [ color . '' ]|color|sg|NN|[u'visual_property.n.01']||SINV|"['.', ""''""]"|[]|True|"['.', ""''""]"|[]|[]|[u'well', 'than']|NN|False|False|False|0|False|||says|True|0.965517241379|THE|ZERO
6602|ZERO|"data/parsed/22/wsj_2250.mrg|34|34"|Even food products and automobiles , which have long depended on [ color , ] are making the switch .|color|sg|NN|[u'visual_property.n.01']||PP|[',']|[]|True|[',']|[u'be', u'make']|[]|[u'depend', 'on']|NN|False|False|False|0|False|||have|True|0.647058823529|THE|ZERO
6605|ZERO|"data/parsed/22/wsj_2250.mrg|35|14"|Companies `` feel [ black and white ] will convey a stronger statement , '' says S Marc L. Hauser , a Chicago photographer who is working on a black-and-white print ad for Stouffer Food Corp. 's Lean Cuisine .|JJ||ADJP|||S|[]|[]|False|[]|['will', 'convey']|[]|['``', 'feel']|ADJP|False|False|False|0|False|||will|False|0.0833333333333|THE|ZERO
6640|ZERO|"data/parsed/22/wsj_2250.mrg|42|17"|It is n't ordinary like [ color . '' ]|color|sg|NN|[u'visual_property.n.01']||PP|"['.', ""''""]"|[]|True|"['.', ""''""]"|[]|[]|['ordinary', 'like']|NN|False|False|False|0|False|||is|True|0.833333333333|THE|ZERO
6642|ZERO|"data/parsed/22/wsj_2250.mrg|43|21"|Still , most consumers are n't plunking [ black-and-white film ] into their cameras to take family snapshots .|film|sg|NN|[u'product.n.02', u'show.n.03']||VP|[]|['JJ']|False|[]|['into', 'their']|['black-and-white']|"[""n't"", u'plunk']"|NN|False|False|False|0|False|||are|False|0.4375|THE|ZERO
6652|ZERO|"data/parsed/22/wsj_2250.mrg|46|4"|[ Black-and-white film ] costs consumers a little less than color film , and processing costs the same .|film|sg|NN|[u'product.n.02', u'show.n.03']||S|[]|['JJ']|True|[]|[u'cost', u'consumer']|['Black-and-white']|[]|NN|False|False|False|0|False|||costs|True|0.0|THE|ZERO
6655|ZERO|"data/parsed/22/wsj_2250.mrg|46|26"|Black-and-white film costs consumers a little less than [ color film , ] and processing costs the same .|film|sg|NN|[u'product.n.02', u'show.n.03']||PP|[',']|['NN']|True|[',']|['and', 'processing']|['color']|['less', 'than']|NN|False|False|False|0|False|||costs|True|0.533333333333|THE|ZERO
6660|ZERO|"data/parsed/22/wsj_2250.mrg|47|22"|But for photofinishers , developing costs for [ black-and-white film ] are higher .|film|sg|NN|[u'product.n.02', u'show.n.03']||PP|[]|['JJ']|True|[]|[u'be', u'high']|['black-and-white']|[u'cost', 'for']|NN|False|False|False|0|False|||are|True|0.636363636364|THE|ZERO
6667|ZERO|"data/parsed/22/wsj_2250.mrg|50|4"|[ Intent ] on wooing customers , the company is also increasing its sponsorship of black-and-white photography classes .|Intent|sg|NN|[u'goal.n.01']||NP|[]|[]|False|[]|['on', u'woo']|[]|[]|NN|False|True|False|4|False|PP|on|is|False|0.0|THE|ZERO
6714|ZERO|"data/parsed/22/wsj_2250.mrg|58|40"|They cite the emergence of still electronic photography , more newspapers turning to [ color ] on their pages and measurable improvements in the quality of color prints .|color|sg|NN|[u'visual_property.n.01']||NP|[]|[]|False|[]|['on', 'their']|[]|[u'turn', 'to']|NN|False|True|False|13|False|PP|on|turning|False|0.481481481481|THE|ZERO
6727|ZERO|"data/parsed/22/wsj_2250.mrg|60|27"|`` The color print today is far superior to [ prints ] of 10 years ago .|print|pl|NN|[u'written_communication.n.01']||NP|[]|[]|True|[]|['of', '<number>']|[]|['superior', 'to']|NN|False|True|False|5|True|PP|of|is|True|0.6|THE|ZERO
6738|ZERO|"data/parsed/22/wsj_2250.mrg|62|73"|But when Popular Photography , a leading magazine for photographers , selected 15 of the greatest photos ever made for its latest issue celebrating [ photography 's ] 150th anniversary , all were black and white .|photography|sg|NN|[u'pictorial_representation.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['150th', 'anniversary']|[]|['issue', u'celebrate']|NN|False|False|False|0|False|||celebrating|True|0.705882352941|THE|ZERO
6763|ZERO|"data/parsed/22/wsj_2251.mrg|3|23"|The Sacramento , Calif. , company also attributed [ improved performance ] to a lower effective tax rate and higher interest income .|performance|sg|NN|[u'show.n.03']||VP|[]|['VBN']|False|[]|['to']|[u'improve']|['also', u'attribute']|NN|False|False|False|0|False|||attributed|False|0.4|THE|ZERO
6783|ZERO|"data/parsed/22/wsj_2251.mrg|6|29"|McClatchy publishes the Sacramento -LRB- Calif . -RRB- Bee and [ Tacoma -LRB- Wash . -RRB- News Tribune , ] and other papers in Western states .|Tribune|sg|NNP|[u'defender.n.01']||NP|[',']|['NNP', '-LRB-', 'NNP', '.', '-RRB-', 'NNP']|False|[',']|['and', 'other']|['Tacoma', '-LRB-', 'Wash', '.', '-RRB-', 'News']|['Bee', 'and']|NN|True|True|False|1|False|CC|and|publishes||0.555555555556|THE|ZERO
6872|ZERO|"data/parsed/22/wsj_2253.mrg|6|65"|Its ragged behavior through much of 1989 has prompted some forecasters to anticipate the start of a new recession perhaps before [ year 's ] end .|year|sg|NN|[u'time_period.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['end', '.']|[]|['perhaps', 'before']|NN|False|False|False|0|False|||to|True|0.875|THE|ZERO
6928|ZERO|"data/parsed/22/wsj_2253.mrg|14|82"|Over the full post-World War II era , the Columbia index , on the average , has entered sustained declines 14 months before the onset of recessions and turned up [ eight months ] before recoveries .|month|pl|NN|[u'time_period.n.01']||NP|[]|['CD']|False|[]|['before', u'recovery']|['eight']|[u'turn', 'up']|NN|False|True|False|3|False|PP|before|has|True|0.882352941176|THE|ZERO
6933|ZERO|"data/parsed/22/wsj_2253.mrg|15|58"|The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- [ 10 months ] before recessions and only three months before recoveries .|month|pl|NN|[u'time_period.n.01']||NP|[]|['CD']|True|[]|['before', u'recession']|['<number>']|[u'short', '--']|NN|False|True|False|2|False|PP|before|are|True|0.666666666667|THE|ZERO
6978|ZERO|"data/parsed/22/wsj_2253.mrg|23|3"|[ Notably absent from the Columbia index ] is the stock market , which Mr. Moore says `` is simply no longer such a good indicator of the economy 's long-range prospects , though it still is useful for anticipating some short-run twists and turns . ''|index|sg|NN|[u'scale.n.01']||S|[]|['RB', 'JJ', 'IN', 'NNP']|True|[]|[u'be']|['Notably', 'absent', 'from', 'Columbia']|[]|NN|False|False|False|0|False|||is|True|0.0|THE|ZERO
7079|ZERO|"data/parsed/22/wsj_2254.mrg|10|23"|The French group currently ranks second after [ Barilla Group ] of Italy , whose sales are chiefly in the Italian market .|Group|sg|NNP|[u'abstraction.n.06']||NP|[]|['NNP']|False|[]|['of', 'Italy']|['Barilla']|['second', 'after']|NN|True|True|False|12|True|PP|of|ranks||0.35|THE|ZERO
7093|ZERO|"data/parsed/22/wsj_2255.mrg|1|110"|Moody 's Investors Service Inc. said it reduced its rating on $ 281 million of senior and subordinated debt of this thrift holding company , to C from Ca , saying it believes bondholders will recover [ only `` negligible principal . '' ]|principal|sg|NN|[u'debt.n.02']||VP|"['.', ""''""]"|['JJ', '``', 'JJ']|False|"['.', ""''""]"|[]|['only', '``', 'negligible']|['will', 'recover']|NN|False|False|False|0|False|||will|False|0.972972972973|THE|ZERO
7115|ZERO|"data/parsed/22/wsj_2255.mrg|5|51"|Moody 's Investors Service Inc. downgraded its ratings on the subordinated debt of CenTrust to Caa from [ B-3 . ]|B-3|sg|NN|||PP|['.']|[]|False|['.']|[]|[]|['Caa', 'from']|NN|False|False|False|0|False|||to|False|0.944444444444|THE|ZERO
7222|ZERO|"data/parsed/22/wsj_2256.mrg|19|48"|Budget director Darman said he wo n't give federal agencies much leeway in coping with [ Gramm-Rudman spending cuts , ] which took effect yesterday .|cut|pl|NN|[u'share.n.01']||NP|[',']|['NNP', 'NN']|False|[',']|['which', u'take']|['Gramm-Rudman', 'spending']|[u'cop', 'with']|NN|False|True|False|5|False|SBAR|which|coping|False|0.714285714286|THE|ZERO
7381|ZERO|"data/parsed/22/wsj_2257.mrg|15|3"|[ Average ] of top rates paid by major New York banks on primary new issues of negotiable C.D.s , usually on amounts of $ 1 million and more .|Average||JJ|[u'statistic.n.01']||NP|[]|[]|False|[]|['of', 'top']|[]|[]|JJ|False|True|False|3|True|PP|of|||0.0|THE|ZERO
7459|ZERO|"data/parsed/22/wsj_2257.mrg|25|38"|TREASURY BILLS : Results of the Monday , October 16 , 1989 , [ auction ] of short-term U.S. government bills , sold at a discount from face value in units of $ 10,000 to $ 1 million : 7.37 % , 13 weeks ; 7.42 % , 26 weeks .|auction|sg|NN|[u'bridge.n.05']||NP|[]|[]|False|[]|['of', 'short-term']|[]|['<number>', ',']|NN|False|True|False|23|True|PP|of||False|0.265306122449|THE|ZERO
7463|ZERO|"data/parsed/22/wsj_2257.mrg|25|80"|TREASURY BILLS : Results of the Monday , October 16 , 1989 , auction of short-term U.S. government bills , sold at a discount from face value in [ units ] of $ 10,000 to $ 1 million : 7.37 % , 13 weeks ; 7.42 % , 26 weeks .|unit|pl|NN|[u'definite_quantity.n.01']||NP|[]|[]|False|[]|['of', '$']|[]|['value', 'in']|NN|False|True|False|3|True|PP|of||False|0.571428571429|THE|ZERO
7497|ZERO|"data/parsed/22/wsj_2257.mrg|32|4"|[ Annualized average rate ] of return after expenses for the past 30 days ; not a forecast of future returns .|rate|sg|NN|[u'magnitude_relation.n.01']||NP|[]|['VBN', 'JJ']|True|[]|['of', 'return']|['Annualized', 'average']|[]|NN|False|True|False|2|True|PP|of||True|0.0|THE|ZERO
7654|ZERO|"data/parsed/22/wsj_2261.mrg|5|27"|The company 's remaining business is the manufacture and [ sale ] of engine and transmissions products for industrial and transportation applications .|sale|sg|NN|[u'selling.n.01']||NP|[]|[]|True|[]|['of', 'engine']|[]|['manufacture', 'and']|NN|False|True|False|11|True|PP|of|is|True|0.428571428571|THE|ZERO
