,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
30,data/parsed/22/wsj_2200.mrg|5|4,[ The complex financing plan ] in the S&L bailout law includes raising $ 30 billion from debt issued by the newly created RTC .,plan,sg,NN,[u'idea.n.01'],,NP,[],"['JJ', 'NN']",False,[],['in'],"['complex', 'financing']",[],A,THE
36,data/parsed/22/wsj_2200.mrg|6|19,This financing system was created in [ the new law ] in order to keep the bailout spending from swelling the budget deficit .,law,sg,NN,[u'collection.n.01'],,PP,[],['JJ'],True,[],"['in', 'order']",['new'],"[u'create', 'in']",A,THE
65,data/parsed/22/wsj_2200.mrg|11|71,"The agency has already spent roughly $ 19 billion selling 34 insolvent S&Ls , and it is likely to sell or merge 600 by [ the time ] the bailout concludes .",time,sg,NN,[u'case.n.01'],,NP,[],[],False,[],['bailout'],[],"['<number>', 'by']",A,THE
78,data/parsed/22/wsj_2200.mrg|14|4,[ The complicated language ] in the huge new law has muddied the fight .,language,sg,NN,[u'communication.n.02'],,NP,[],['JJ'],False,[],['in'],['complicated'],[],A,THE
80,data/parsed/22/wsj_2200.mrg|14|29,The complicated language in the huge new law has muddied [ the fight . ],fight,sg,NN,[u'military_action.n.01'],,VP,['.'],[],False,['.'],[],[],"[u'have', u'muddy']",A,THE
439,data/parsed/22/wsj_2202.mrg|3|32,"Baseball , that game of the long haul , is [ the quintessential sport ] of the mean , and the mean ol' law caught up with the San Francisco Giants in the World Series last weekend .",sport,sg,NN,[u'diversion.n.01'],,NP,[],['JJ'],False,[],['of'],['quintessential'],"[',', u'be']",A,THE
495,data/parsed/22/wsj_2202.mrg|10|73,"Mark McGwire , the big , red-haired Oakland first baseman , had three hits in four at bats , two more than he 'd had in [ the five-game Dodger series ] in which he 'd gone 1-for-17 .",series,sg,NN,[u'ordering.n.01'],,PP,[],"['JJ', 'NNP']",False,[],"['in', 'which']","['five-game', 'Dodger']","[u'have', 'in']",A,THE
667,data/parsed/22/wsj_2202.mrg|32|88,"Such is his reputation among the East Bay Bashers that when he hit his first career home run last season , the fan who caught it agreed to turn [ the ball ] over to him in return for an autograph .",ball,sg,NN,[u'game_equipment.n.01'],,VP,[],[],False,[],"['over', 'to']",[],"['to', 'turn']",A,THE
994,data/parsed/22/wsj_2205.mrg|20|15,"`` This is not [ the sort ] of market to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .",sort,sg,NN,[u'category.n.02'],,NP,[],[],False,[],"['of', 'market']",[],"[u'be', 'not']",A,THE
1133,data/parsed/22/wsj_2205.mrg|48|21,They saw an opportunity created by [ the sell-off . ],sell-off,sg,NN,,,PP,['.'],[],False,['.'],[],[],"[u'create', 'by']",A,THE
1149,data/parsed/22/wsj_2205.mrg|52|52,"`` The MMI has gone better , '' shouted one trader at about 3:15 London time , as [ the U.S. Major Markets Index contract ] suddenly indicated a turnabout .",contract,sg,NN,[u'written_agreement.n.01'],,NP,[],"['NNP', 'NNP', 'NNP', 'NNP']",False,[],"['suddenly', u'indicate']","['U.S.', 'Major', 'Markets', 'Index']","[',', 'as']",A,THE
1208,data/parsed/22/wsj_2207.mrg|2|4,"[ The collapsed plan ] to acquire UAL Corp. , parent of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by the subcommittee on a voice vote yesterday .",plan,sg,NN,[u'idea.n.01'],,NP,[],['VBN'],False,[],"['to', 'acquire']",[u'collapse'],[],A,THE
1215,data/parsed/22/wsj_2207.mrg|2|76,"The collapsed plan to acquire UAL Corp. , parent of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by [ the subcommittee ] on a voice vote yesterday .",subcommittee,sg,NN,[u'committee.n.01'],,NP,[],[],False,[],['on'],[],"[u'approve', 'by']",A,THE
1278,data/parsed/22/wsj_2207.mrg|11|38,Aides both in the House and Senate said the withdrawal of [ the Trump bid ] for AMR is n't likely to deflate efforts to push the legislation .,bid,sg,NN,[u'speech_act.n.01'],,NP,[],['NNP'],False,[],"['for', 'AMR']",['Trump'],"['withdrawal', 'of']",A,THE
1288,data/parsed/22/wsj_2207.mrg|13|22,The bill is aimed at addressing [ the concern ] that an airline might sacrifice costly safety measures to pay off the debt incurred in a leveraged buy-out .,concern,sg,NN,[u'interest.n.01'],,NP,[],[],False,[],['that'],[],"['at', u'address']",A,THE
1296,data/parsed/22/wsj_2207.mrg|14|53,"Currently , the transportation secretary does n't have clearly established authority to block mergers , but can take [ the drastic step ] of revoking the operating certificate of any carrier the official considers unfit .",step,sg,NN,[u'maneuver.n.04'],,NP,[],['JJ'],False,[],"['of', u'revoke']",['drastic'],"['can', 'take']",A,THE
1299,data/parsed/22/wsj_2207.mrg|14|86,"Currently , the transportation secretary does n't have clearly established authority to block mergers , but can take the drastic step of revoking the operating certificate of any carrier [ the official ] considers unfit .",official,sg,NN,[u'skilled_worker.n.01'],,S,[],[],False,[],"[u'consider', 'unfit']",[],"['any', 'carrier']",A,THE
1377,data/parsed/22/wsj_2208.mrg|2|57,"`` It could be a long meeting or it could be a short one , '' said Doug Hammond , [ the mediator , ] who called the agreement to meet a first step toward a resumption of negotiations .",mediator,sg,NN,[u'negotiator.n.01'],,NP,"[',']",[],True,"[',']","['who', u'call']",[],"['Hammond', ',']",A,THE
1411,data/parsed/22/wsj_2208.mrg|8|7,"After [ the third week ] on strike , union members will begin receiving $ 100 a week from the fund .",week,sg,NN,[u'time_period.n.01'],,NP,[],['JJ'],False,[],"['on', 'strike']",['third'],['After'],A,THE
1442,data/parsed/22/wsj_2209.mrg|1|61,"DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for [ the computer printer maker 's ] common stock .",maker,sg,NN,[u'creator.n.02'],,NPB,['POS'],"['NN', 'NN']",False,"[""'s""]","['common', 'stock']","['computer', 'printer']","['offer', 'for']",A,THE
1474,data/parsed/22/wsj_2209.mrg|6|67,"Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off [ the auction block . ]",block,sg,NN,[u'artifact.n.01'],,PP,['.'],['NN'],False,['.'],[],['auction'],"['itself', 'off']",A,THE
1544,data/parsed/22/wsj_2210.mrg|8|21,"Paris , which has been [ the center ] of speculation fever in recent weeks , also was hard hit .",center,sg,NN,[u'area.n.01'],,NP,[],[],False,[],"['of', 'speculation']",[],"[u'have', u'be']",A,THE
1626,data/parsed/22/wsj_2210.mrg|24|72,"Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after [ the mild 1.8 % decline ] in Tokyo stock prices .",decline,sg,NN,[u'decrease.n.02'],,NP,[],"['JJ', 'CD', 'NN']",False,[],"['in', 'Tokyo']","['mild', '<number>', '%']","['optimistic', 'after']",A,THE
1687,data/parsed/22/wsj_2210.mrg|32|77,"Yet yesterday 's market cropped Dresdner 's share price by 33 marks to 309 marks a share , leaving little incentive for investors to subscribe to [ the standing price ] unless the market recovers quickly .",price,sg,NN,[u'value.n.02'],,PP,[],['NN'],False,[],['unless'],['standing'],"['subscribe', 'to']",A,THE
1837,data/parsed/22/wsj_2211.mrg|13|36,"Such loans to Argentina also remain classified as non-accruing , costing [ the bank ] $ 10 million of interest income in the third period .",bank,sg,NN,[u'slope.n.01'],,VP,[],[],True,[],"['$', '<number>']",[],"[',', u'cost']",A,THE
2101,data/parsed/22/wsj_2212.mrg|6|31,The LIN board said holders may be misled by [ the provision ] in the McCaw proposal that `` guarantees '' private market value after five years for the remaining shares .,provision,sg,NN,[u'condition.n.02'],,NP,[],[],False,[],['in'],[],"[u'mislead', 'by']",A,THE
2199,data/parsed/22/wsj_2214.mrg|1|38,U.S. Trade Representative Carla Hills said the first dispute-settlement panel set up under [ the U.S.-Canadian `` free trade '' agreement ] has ruled that Canada 's restrictions on exports of Pacific salmon and herring violate the accord .,agreement,sg,NN,[u'statement.n.01'],,PP,[],"['JJ', '``', 'JJ', 'NN', ""''""]",False,[],"[u'have', u'rule']","['U.S.-Canadian', '``', 'free', 'trade', ""''""]","['up', 'under']",A,THE
2224,data/parsed/22/wsj_2214.mrg|4|43,"However , in Ottawa , Canadian Trade Minister John Crosbie said the dispute-settlement panel accepted [ the `` legitimacy ] of Canada 's position on the use of these landing requirements to conserve and manage these important fisheries . ''",legitimacy,sg,NN,[u'lawfulness.n.01'],,NP,[],['``'],False,[],"['of', 'Canada']",['``'],"['panel', u'accept']",A,THE
2321,data/parsed/22/wsj_2216.mrg|3|103,"The FDIC , which in 1986 provided $ 130 million in open-bank assistance to BancOklahoma 's Bank of Oklahoma , Tulsa , unit will continue to maintain $ 90 million in preferred stock in [ the Tulsa bank unit . ]",unit,sg,NN,[u'definite_quantity.n.01'],,PP,['.'],"['NNP', 'NN']",False,['.'],[],"['Tulsa', 'bank']","['stock', 'in']",A,THE
2330,data/parsed/22/wsj_2216.mrg|4|89,"In exchange for the other $ 40 million , the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from [ the 55 % option ] the FDIC received under terms of the 1986 capital infusion .",option,sg,NN,[u'derivative_instrument.n.01'],,NP,[],"['CD', 'NN']",False,[],['FDIC'],"['<number>', '%']","['up', 'from']",A,THE
2375,data/parsed/22/wsj_2217.mrg|2|61,"Were it true that a weak currency paves the way for trade surpluses , then presumably Argentina would be [ the center ] of today 's global economy .",center,sg,NN,[u'area.n.01'],,NP,[],[],False,[],"['of', 'today']",[],"['would', 'be']",A,THE
2393,data/parsed/22/wsj_2218.mrg|2|20,"Under terms of the offer , [ the sporting goods maker ] will swap $ 9 face amount of 9 1\\/4 % subordinated notes due 1996 and one warrant for each common share .",maker,sg,NN,[u'creator.n.02'],,S,[],"['JJ', 'NNS']",False,[],"['will', 'swap']","['sporting', u'good']","['offer', ',']",A,THE
2426,data/parsed/22/wsj_2218.mrg|8|21,BSN said it is making [ the offer ] to shrink its capital and increase shareholder value .,offer,sg,NN,[u'speech_act.n.01'],,NP,[],[],True,[],"['to', 'shrink']",[],"[u'be', u'make']",A,THE
2530,data/parsed/22/wsj_2219.mrg|14|11,"Bear Stearns is [ the holding company ] for Bear , Stearns & Co. , the investment banking and brokerage firm .",company,sg,NN,[u'institution.n.01'],,VP,[],['VBG'],False,[],"['for', 'Bear']",[u'hold'],"['Stearns', u'be']",A,THE
2554,data/parsed/22/wsj_2219.mrg|18|20,"A year ago , net at [ the New York investment banking firm ] was $ 20.9 million , or 50 cents a share , including a special pretax gain of $ 46.3 million from the sale of the company 's interest in National Car Rental Systems Inc .",firm,sg,NN,[u'business.n.01'],,PP,[],"['NNP', 'NNP', 'NN', 'NN']",True,[],"[u'be', '$']","['New', 'York', 'investment', 'banking']","['net', 'at']",A,THE
2738,data/parsed/22/wsj_2222.mrg|24|23,"Synchronized circuit breakers would not have halted [ the slide ] in prices on Friday , but they probably would have made for smoother , less volatile executions .",slide,sg,NN,[u'plate_glass.n.01'],,NP,[],[],False,[],"['in', u'price']",[],"['have', u'halt']",A,THE
2832,data/parsed/22/wsj_2223.mrg|2|67,"The `` social dimension '' -- worker concerns -- of the European Community 's plan to open its internal borders in 1992 could set [ the effort `` ] off the rails '' if not done reasonably , says S General Electric senior vice president Frank Doyle .",effort,sg,NN,[u'activity.n.01'],,VP,['``'],[],False,['``'],['off'],[],"['could', 'set']",A,THE
2893,data/parsed/22/wsj_2223.mrg|12|13,"More taunting in [ the parking lot , ] the players said S , led to a fight .",lot,sg,NN,[u'large_indefinite_quantity.n.01'],,PP,"[',']",['NN'],False,"[',']",[u'player'],['parking'],"[u'taunt', 'in']",A,THE
2913,data/parsed/22/wsj_2223.mrg|15|19,PROPOSALS ARISE for coping with [ the shortage ] of nurses .,shortage,sg,NN,[u'insufficiency.n.03'],,NP,[],[],False,[],"['of', u'nurse']",[],"[u'cop', 'with']",A,THE
3056,data/parsed/22/wsj_2223.mrg|39|47,"Federal Express , Dow Chemical , Ford and National City Corp. will buy the home or let [ the worker ] sell to an outside firm , but usually wo n't cover a loss .",worker,sg,NN,[u'person.n.01'],,S,[],[],False,[],"['sell', 'to']",[],"['or', 'let']",A,THE
3138,data/parsed/22/wsj_2224.mrg|10|36,"Of greater help , the Big Board chairman said SINV , was [ the `` natural circuit breaker '' ] of the weekend , that provided a breathing period that `` brought rationality back to the market .",breaker,sg,NN,[u'quarryman.n.01'],,NP,"[""''""]","['``', 'JJ', 'NN']",True,"[""''""]",['of'],"['``', 'natural', 'circuit']","[',', u'be']",A,THE
3169,data/parsed/22/wsj_2225.mrg|5|4,[ The loss ] of more customers is the latest in a string of problems .,loss,sg,NN,[u'transferred_property.n.01'],,NP,[],[],False,[],"['of', 'more']",[],[],A,THE
3288,data/parsed/22/wsj_2225.mrg|30|39,`` It 's a question of how much credibility you gain for [ the possible loss ] of recognition . '',loss,sg,NN,[u'transferred_property.n.01'],,NP,[],['JJ'],False,[],"['of', 'recognition']",['possible'],"['gain', 'for']",A,THE
3421,data/parsed/22/wsj_2227.mrg|1|4,[ The continuing series ] of HUD scandals is a sadly predictable result of pork-barrel politics .,series,sg,NN,[u'ordering.n.01'],,NP,[],['VBG'],False,[],"['of', 'HUD']",[u'continue'],[],A,THE
3457,data/parsed/22/wsj_2227.mrg|6|61,"Through the years the association has been an active member of the taxpayer 's coalition , pushing for such initiatives as [ the balanced-budget amendment . ]",amendment,sg,NN,[u'correction.n.01'],,PP,['.'],['JJ'],False,['.'],[],['balanced-budget'],"[u'initiative', 'as']",A,THE
3510,data/parsed/22/wsj_2227.mrg|17|56,"Though Mr. Colton says expanding FHA lending would result in `` no cost to the government , '' [ the mere diversion ] of funds from other parts of the economy and from other forms of housing -LRB- such as low-income -RRB- to the single-family home market would result in a major expense .",diversion,sg,NN,[u'activity.n.01'],,NP,[],['JJ'],False,[],"['of', u'fund']",['mere'],"[',', ""''""]",A,THE
3533,data/parsed/22/wsj_2227.mrg|20|38,The federal government has had to pump in $ 2.28 billion into [ the VA housing program ] since 1984 to keep the fund afloat and the VA requested an additional $ 120 million for the fiscal year just ended .,program,sg,NN,[u'idea.n.01'],,PP,[],"['NNP', 'NN']",True,[],"['since', '<number>']","['VA', 'housing']","['billion', 'into']",A,THE
3584,data/parsed/22/wsj_2227.mrg|27|74,"The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as [ the balanced-budget amendment . '' ]",amendment,sg,NN,[u'correction.n.01'],,PP,"['.', ""''""]",['JJ'],False,"['.', ""''""]",[],['balanced-budget'],"['such', 'as']",A,THE
3635,data/parsed/22/wsj_2228.mrg|2|51,"According to diplomatic sources in Brussels , most EC leaders agree that talks should begin in [ the second half ] of 1990 , and will make a declaration on that during a summit meeting in Strasbourg , France , on Dec. 8 and 9 .",half,sg,NN,[u'common_fraction.n.01'],,NP,[],['JJ'],False,[],"['of', '<number>']",['second'],"['begin', 'in']",A,THE
3647,data/parsed/22/wsj_2228.mrg|4|18,But the process of convening [ the intergovernmental conference ] does n't require unanimity .,conference,sg,NN,[u'meeting.n.01'],,VP,[],['JJ'],False,[],"[u'do', ""n't""]",['intergovernmental'],"['of', u'convene']",A,THE
3674,data/parsed/22/wsj_2229.mrg|1|31,The latest crewcut in the equities markets reminds me of [ the joke ] T. Boone Pickens tells about the guy who was run over by the parade .,joke,sg,NN,[u'wit.n.01'],,NP,[],[],False,[],"['T.', 'Boone']",[],"['me', 'of']",A,THE
3684,data/parsed/22/wsj_2229.mrg|4|4,[ The grand marshal ] of this parade would appear to have been excess leverage .,marshal,sg,NN,[u'lawman.n.01'],,NP,[],['JJ'],False,[],"['of', 'this']",['grand'],[],A,THE
3729,data/parsed/22/wsj_2229.mrg|10|40,"What really spooked the crowds along Wall Street , however , was [ the sudden concern ] that , whatever the reason , the pool of debt capital is drying up .",concern,sg,NN,[u'interest.n.01'],,NP,[],['JJ'],False,[],"['that', ',']",['sudden'],"[',', u'be']",A,THE
3736,data/parsed/22/wsj_2229.mrg|11|37,"Gray Friday reflects a panic mainly by the takeover arbitragers , rather than [ the small investor , ] as their highly margined investments in the `` deal '' stocks are jeopardized by the unexpected drying up of the lubricant for deal financing .",investor,sg,NN,[u'capitalist.n.02'],,PP,"[',']",['JJ'],False,"[',']","['as', 'their']",['small'],"['rather', 'than']",A,THE
3773,data/parsed/22/wsj_2229.mrg|18|18,"The multibillion-dollar prospects , where [ the bidder ] must line up a consortium of banks and\\/or issue billions in high-yield debt , were where the damage was concentrated .",bidder,sg,NN,[u'applicant.n.01'],,S,[],[],False,[],"['must', 'line']",[],"[',', 'where']",A,THE
3827,data/parsed/22/wsj_2229.mrg|24|115,"Of course , Washington had n't been silent in the days leading up to the debacle , and its tendency to meddle in the leverage equation remains a troublesome prospect , but those preliminary steps should n't distract us from [ the basic market fundamentalism ] that was at work on Friday .",fundamentalism,sg,NN,[u'protestantism.n.01'],,NP,[],"['JJ', 'NN']",False,[],"['that', u'be']","['basic', 'market']","['us', 'from']",A,THE
3886,data/parsed/22/wsj_2229.mrg|33|44,"Yes , the broader exchanges got caught up in the spiral , but they rode [ the tiger ] up all year .",tiger,sg,NN,[u'person.n.01'],,VP,[],[],False,[],"['up', 'all']",[],"['they', u'ride']",A,THE
3922,data/parsed/22/wsj_2229.mrg|40|51,"Any such attempt to distinguish `` good debt '' from `` bad debt , '' or to draw [ the line ] at a particular industry , such as the airlines , is likely to blunt the spur that the proper amount of leverage provides both to equity markets and economic efficiency in general .",line,sg,NN,[u'formation.n.01'],,NP,[],[],False,[],['at'],[],"['to', 'draw']",A,THE
3949,data/parsed/22/wsj_2230.mrg|1|58,"Tokyo share prices rebounded Tuesday morning , with the Nikkei index of 225 selected stocks rising 618.69 points to close [ the morning session ] at 35087.38 .",session,sg,NN,[u'conference.n.03'],,VP,[],['NN'],False,[],"['at', '<number>']",['morning'],"['to', 'close']",A,THE
4108,data/parsed/22/wsj_2230.mrg|29|27,"Two years ago , Tokyo 's biggest fall came [ the day ] after New York 's 22.6 % Black Monday plunge , when the Nikkei average fell 14.9 % .",day,sg,NN,[u'time_unit.n.01'],,PP,[],[],False,[],"['after', 'New']",[],"['fall', u'come']",A,THE
4135,data/parsed/22/wsj_2230.mrg|33|22,"`` Now we are looking for [ the time ] to place buy orders , '' he said .",time,sg,NN,[u'case.n.01'],,NP,[],[],True,[],"['to', 'place']",[],"[u'look', 'for']",A,THE
4139,data/parsed/22/wsj_2230.mrg|34|18,"`` For us institutional investors , [ the chance ] for buying has come . ''",chance,sg,NN,[u'possibility.n.02'],,NP,[],[],False,[],"['for', 'buying']",[],"[u'investor', ',']",A,THE
4156,data/parsed/22/wsj_2230.mrg|37|54,"`` Unless there is a panic , this is the best time to buy , as was [ the case ] two years ago , '' he said .",case,sg,NN,[u'happening.n.01'],,VP,[],[],False,[],"['two', u'year']",[],"['as', u'be']",A,THE
4314,data/parsed/22/wsj_2230.mrg|60|126,"Nestor Hinzack , an analyst at brokerage firm Burdett , Buckeridge & Young Ltd. , described the market 's performance as `` sheep-like '' as investors fled to bluechip Australian stocks and shunned entrepreneurial companies they perceived as having any takeover premium built into [ the price . ]",price,sg,NN,[u'value.n.02'],,PP,['.'],[],False,['.'],[],[],"[u'build', 'into']",A,THE
4384,data/parsed/22/wsj_2231.mrg|3|28,What else is one to make of [ the whacky save-the-earth initiative ] just proposed by several major environmental groups and organized by the state 's attorney general ?,initiative,sg,NN,[u'drive.n.05'],,NP,[],"['JJ', 'NN']",False,[],"['just', u'propose']","['whacky', 'save-the-earth']","['make', 'of']",A,THE
4434,data/parsed/22/wsj_2231.mrg|14|36,"But if rational science and economics have nothing to do with [ the new environment initiative , ] what is going on ?",initiative,sg,NN,[u'drive.n.05'],,PP,"[',']","['JJ', 'NN']",True,"[',']","['what', u'be']","['new', 'environment']","['do', 'with']",A,THE
4452,data/parsed/22/wsj_2231.mrg|18|85,"Mr. Van de Kamp is the one who collected the plans from the various radical environmental groups and cobbled them into a single unwieldy initiative to be placed on [ the ballot ] for election on Nov. 6 , 1990 .",ballot,sg,NN,[u'document.n.01'],,NP,[],[],False,[],"['for', 'election']",[],"[u'place', 'on']",A,THE
4456,data/parsed/22/wsj_2231.mrg|19|13,That 's also [ the day ] of the gubernatorial election .,day,sg,NN,[u'time_unit.n.01'],,NP,[],[],False,[],['of'],[],"[""'s"", 'also']",A,THE
4466,data/parsed/22/wsj_2231.mrg|22|14,He can spend [ the legal maximum ] for his campaign ; all the spending for the Van de Kamp initiative -LRB- on which there are no limits -RRB- is gravy .,maximum,sg,NN,"[u'extremum.n.02', u'large_indefinite_quantity.n.01']",,NP,[],['JJ'],False,[],"['for', 'his']",['legal'],"['can', 'spend']",A,THE
4477,data/parsed/22/wsj_2231.mrg|24|6,"-LRB- [ The Republican candidate , ] Sen. Pete Wilson , is playing the initiative fundraising game too , sponsoring his own crime initiative . -RRB-",candidate,sg,NN,[u'politician.n.02'],,NP,"[',']",['JJ'],False,"[',']","['Sen.', 'Pete']",['Republican'],['-LRB-'],A,THE
4479,data/parsed/22/wsj_2231.mrg|24|30,"-LRB- The Republican candidate , Sen. Pete Wilson , is playing [ the initiative fundraising game ] too , sponsoring his own crime initiative . -RRB-",game,sg,NN,[u'activity.n.01'],,VP,[],"['NN', 'VBG']",False,[],"['too', ',']","['initiative', u'fundraise']","[u'be', u'play']",A,THE
4488,data/parsed/22/wsj_2231.mrg|26|11,This is [ the state ] that recently passed the Prop. 65 anti-toxic initiative .,state,sg,NN,[u'administrative_district.n.01'],,NP,[],[],False,[],"['that', 'recently']",[],"['This', u'be']",A,THE
4526,data/parsed/22/wsj_2231.mrg|32|47,"George Bush , for example , may decide that he does n't want to be [ the President ] who lost control of interstate commerce to an attorney general from California .",President,sg,NN,[u'corporate_executive.n.01'],,NP,[],[],False,[],"['who', u'lose']",[],"['to', 'be']",A,THE
4561,data/parsed/22/wsj_2232.mrg|4|9,"It was [ the fourth-biggest advance ] for the average of 30 blue chips , on frenetic New York Stock Exchange volume of 416,290,000 shares -- the highest since the days after the 1987 crash .",advance,sg,NN,[u'change_of_location.n.01'],,VP,[],['JJ'],False,[],['for'],['fourth-biggest'],"['It', u'be']",A,THE
4599,data/parsed/22/wsj_2232.mrg|8|104,"Meanwhile , in a divergence in two of the market 's most important indicators , the Dow industrials ' sister average , the 20-stock Dow Jones Transportation Average , tumbled 102.06 to 1304.23 -- its second-worst decline next to [ the 164.78-point fall ] during the 1987 crash .",fall,sg,NN,[u'season.n.02'],,PP,[],['JJ'],False,[],['during'],['164.78-point'],"['next', 'to']",A,THE
4639,data/parsed/22/wsj_2232.mrg|15|34,"The rally gave credence , at least for now , to [ the pre-trading declaration ] of Big Board Chairman John J. Phelan Jr. that Friday 's market debacle was `` an abnormal condition , and not a disaster . ''",declaration,sg,NN,[u'statement.n.01'],,NP,[],['JJ'],False,[],"['of', 'Big']",['pre-trading'],"[',', 'to']",A,THE
4657,data/parsed/22/wsj_2232.mrg|18|65,"But most of the 30 blue-chip stocks in the average , including Eastman Kodak and General Motors , could n't trade because of [ the heavy backlog ] of sell orders left over from Friday 's late-afternoon rout .",backlog,sg,NN,[u'collection.n.01'],,NP,[],['JJ'],False,[],"['of', 'sell']",['heavy'],"['because', 'of']",A,THE
